Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
71	Aragonite	1.017	1.1379	2	0.73	4.45	1.1502	2.0433	107.41	0.18	0.2	80.81	112.51	30.99	True	edge	0.0168571170664228	0.139935840297517	0.884194053208138	-0.123078723231094
72	Aragonite	1.8952	1.5534	2	17.15	5.32	1.6724	1.159	112.72	0.97	1.87	154.33	148.93	92.86	True	no	0.639324373862439	0.514259720500273	1.13322171729251	0.125064653362166
73	Aragonite	0.64715	0.90773	3	138.71	3.93	0.98116	1.1683	159.44	0.48	1.37	50.15	154.46	43.78	True	no	-0.43517717209369	-0.0190197338372548	0.659576419748053	-0.416157438256435
74	Aragonite	1.0632	1.1635	4	176.52	4.87	1.4769	1.6113	92.19	0.42	1.03	165.61	43.09	122.39	True	no	0.0612832284168984	0.389945296450128	0.719886248222628	-0.328662068033229
75	Aragonite	2.9584	1.9408	4	206.25	6.89	2.7288	1.9769	132.22	0.78	1.88	145.44	58.91	150.09	True	no	1.08464858165072	1.0038619521223	1.0841395485195	0.0807866295284245
76	Aragonite	1.1094	1.1885	0	288.04	4.46	1.3151	1.2243	71.977	1.32	2.35	92.58	51.14	141.09	True	no	0.103819328638997	0.273912708365782	0.84358603908448	-0.170093379726785
77	Aragonite	2.4037	1.7494	5	302.62	7.63	2.6842	2.3541	107.82	1.05	1.82	115.41	56.61	117.9	True	no	0.877009216872479	0.987382731981569	0.895499590194471	-0.11037351510909
78	Aragonite	0.87827	1.0575	1	305.79	3.79	1.1679	1.2198	163.86	1.01	1.89	95.75	69.79	120.33	True	no	-0.129801215536425	0.155207264302383	0.752007877386763	-0.285008479838808
79	Aragonite	1.1556	1.213	0	315.88	5.12	1.5454	1.6231	113.6	0.72	1.04	113.51	68.81	104.17	True	no	0.144619689609943	0.435282776517347	0.747767568267115	-0.290663086907403
80	Aragonite	0.78583	1.0003	1	383.76	4.24	1.3334	1.777	121.67	0.53	1.12	46.83	61.98	137.89	True	no	-0.241014794933179	0.287732071201823	0.589343032848358	-0.528746866135001
