Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
42,Aragonite,7.3417,3.0574,5,30.76,14.89,4.7858,2.4502,97.385,1.36,2.65,110.36,158.16,19.71,True,no,1.99357042343895,1.56565320006308,1.53405909147896,0.427917223375867
43,Aragonite,0.57685,0.85701,3,49.55,6.91,0.96197,1.26,46.061,0.73,1.4,159.24,37.69,17.4,True,no,-0.550173011608838,-0.0387720138338788,0.599654874892148,-0.51140099777496
44,Aragonite,0.57685,0.85701,2,355.09,6.64,1.0201,1.4169,74.929,0.58,0.64,157.29,108.08,162.31,True,no,-0.550173011608838,0.0199006617063362,0.565483776100382,-0.570073673315175
45,Aragonite,1.4683,1.3673,5,11.57,10.57,2.3323,2.9097,72.773,0.41,0.77,74.64,102.6,10.92,True,no,0.384105268986755,0.846854905154161,0.6295502293873,-0.462749636167406
46,Aragonite,4.405,2.3683,5,74.68,14.23,3.7372,2.4902,81.131,0.71,1.31,32.29,49.04,88.63,True,no,1.48274025938814,1.31833666793666,1.17868992828856,0.164403591451479
47,Aragonite,1.311,1.292,2,345.36,10.44,2.1272,2.7109,94.805,0.48,0.87,74.11,43.22,98.17,True,no,0.270790204781563,0.754806560946673,0.616303121474238,-0.48401635616511
48,Aragonite,1.3635,1.3176,3,24.31,10.31,1.8279,1.9246,101,0.77,1.64,78.59,108.4,12.83,True,no,0.310054923303506,0.603167766940421,0.745937961595273,-0.293112843636915
49,Aragonite,0.62929,0.89512,3,227.58,8.58,1.1879,1.7611,67.263,0.58,0.58,61.36,59.41,2.43,True,no,-0.463163079247683,0.172187042313357,0.529749978954458,-0.635350121561039
50,Aragonite,1.6257,1.4387,2,301.03,9.61,1.6287,1.2816,95.004,0.45,1.27,56.85,24.99,58.54,True,no,0.485938492258041,0.487782150597378,0.998158040154725,-0.00184365833933697
51,Aragonite,1.9928,1.5929,2,58.08,13.87,2.4724,2.4093,90.798,0.6,1.8,54.52,37.22,82.57,True,no,0.689540684965834,0.905189338802981,0.806018443617538,-0.215648653837148
52,Aragonite,2.8318,1.8988,6,149.93,13.87,3.1169,2.6944,74.57,0.74,1.59,56.22,63.78,64.4,True,no,1.04091255186873,1.1368389181403,0.908530912124226,-0.0959263662715706
53,Aragonite,0.68173,0.93167,2,191.38,9.38,1.0094,1.1737,135,0.25,1.63,176.36,134.09,93.59,True,no,-0.383121593953716,0.00935609492402503,0.675381414701803,-0.392477688877741
54,Aragonite,0.99638,1.1263,4,13.68,13.58,2.3068,4.1947,78.832,0.42,0.88,106.7,159.22,36.82,True,no,-0.00362656805569865,0.835861282759121,0.431931680249697,-0.839487850814819
55,Aragonite,0.57685,0.85701,2,146.73,11.55,1.2368,2.0827,69.407,0.66,1.4,173.75,123.99,81.32,True,no,-0.550173011608838,0.21252739885102,0.466405239327296,-0.762700410459859
