Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
68	Aragonite	1.5	1.382	1	580.42	1.42	1.2515	1.6403	135	0.21	0.42	107.62	62.75	24.48	True	edge	0.405465108108164	0.224342831889692	1.19856172592889	0.181122276218472
69	Aragonite	11.625	3.8473	4	591.91	2.76	4.553	2.801	170.07	0.87	2	101.33	55.76	46.54	True	edge	2.45315795147342	1.51578635635265	2.55326158576763	0.937371595120775
70	Aragonite	2	1.5958	1	600.63	1	1.3922	1.5222	13.427	0.86	1.79	144.47	105.33	40.06	True	edge	0.693147180559945	0.330885229752429	1.43657520471197	0.362261950807516
71	Aragonite	16.5	4.5835	1	611.45	2.42	3.5538	2.4047	2.2716	0.71	1.73	144.14	106.04	40.22	True	corner	2.80336038090653	1.26801745352884	4.64291744048624	1.5353429273777
72	Aragonite	2.6875	1.8498	6	8.28	4.98	2.1947	1.4077	119.52	1.51	3.45	0.24	87.77	142.9	True	no	0.988611393453781	0.786045362926676	1.22454093953616	0.202566030527105
73	Aragonite	8.25	3.241	8	125.57	10.47	6.0507	3.4853	140.43	1.44	2.89	98.8	51.5	51.54	True	no	2.11021320034659	1.80017396782907	1.36347860578115	0.310039232517516
74	Aragonite	1.25	1.2616	3	139.05	3.45	1.4017	1.2345	117.11	0.65	1.82	165.06	108.76	65.27	True	no	0.22314355131421	0.337685785686875	0.891774274095741	-0.114542234372665
75	Aragonite	1.4375	1.3529	3	143.22	3.87	1.7243	1.6244	106.21	0.82	1.53	109.42	55.14	42.95	True	no	0.362905493689368	0.544821171023949	0.833671634866323	-0.18191567733458
76	Aragonite	1.4375	1.3529	2	374.3	3.7	2.0776	2.3582	122.33	0.75	1.36	111.93	60.15	65.2	True	no	0.362905493689368	0.731213381366402	0.691904120138622	-0.368307887677033
77	Aragonite	0.625	0.89206	2	43.6	3.3	1.0818	1.4706	144.88	0.59	1	73.25	56.14	89.05	True	no	-0.470003629245736	0.0786263204551896	0.577740802366426	-0.548629949700925
78	Aragonite	2.5625	1.8063	4	128.49	6.46	3.4965	3.747	145.62	1.08	2.69	152.88	106.53	38.68	True	no	0.940983344464527	1.25176246816178	0.732875732875733	-0.310779123697258
79	Aragonite	2.9375	1.9339	5	264.98	5.96	2.2702	1.378	4.4912	0.88	1.98	9.88	42.26	138.16	True	no	1.07755887947028	0.819867933339102	1.29393886001233	0.257690946131175
80	Aragonite	1.875	1.5451	4	292.83	4.97	2.3127	2.2405	153.19	0.79	2.37	44.69	34.95	104.29	True	no	0.628608659422374	0.838415673151189	0.810740692696848	-0.209807013728815
81	Aragonite	1.875	1.5451	5	342.87	4.3	1.8843	1.4872	10.549	0.6	1.76	161.45	7.31	28.14	True	no	0.628608659422374	0.633556399146308	0.995064480178316	-0.00494773972393363
82	Aragonite	1.9375	1.5706	3	358.1	5.71	2.0212	1.656	54.459	0.76	1.67	41.62	52.84	132.93	True	no	0.661398482245365	0.703691394435616	0.958588957055215	-0.0422929121902514
83	Aragonite	0.6875	0.9356	1	492.36	3.36	1.1468	1.5025	120.29	0.48	0.85	141.87	167.36	44.73	True	no	-0.374693449441411	0.136975455027078	0.599494244855249	-0.511668904468488
84	Aragonite	2.375	1.7389	5	526.16	7.24	2.5055	2.0759	106.15	0.86	2.07	39.44	43.23	60.77	True	no	0.864997437486605	0.918488315417642	0.947914587906605	-0.0534908779310378
85	Aragonite	1.6875	1.4658	3	529.56	6.26	2.3535	2.5779	101.76	0.63	1.45	127.84	128.64	49.73	True	no	0.523248143764548	0.85590358185906	0.717017208413002	-0.332655438094512
86	Aragonite	4.625	2.4267	7	568.68	8.08	3.1055	1.6377	133.39	0.86	1.97	8.79	27.46	108.82	True	no	1.53147637096439	1.13317473301722	1.4892931895025	0.398301637947168
87	Aragonite	8	3.1915	4	3.58	8.66	2.9381	1.695	131.85	0.87	2.37	130.36	47.8	56.51	True	edge	2.07944154167984	1.07776311393215	2.72284809911167	1.00167842774769
88	Aragonite	3.375	2.073	5	17.3	9.83	4.0368	3.7923	140.41	0.94	2.46	138.93	81.44	59.5	True	no	1.21639532432449	1.39545229890466	0.836058263971462	-0.179056974580163
89	Aragonite	4.375	2.3602	6	21.19	7.4	3.6807	2.432	144.98	0.98	2.56	3.22	72.34	115.38	True	no	1.47590651980958	1.30310295148311	1.18863259706034	0.172803568326468
90	Aragonite	0.625	0.89206	3	67.8	4.1	1.026	1.3229	26.565	0.83	1.85	30.57	36.16	111.85	True	no	-0.470003629245736	0.0256677467485778	0.60916179337232	-0.495671375994313
91	Aragonite	1.375	1.3231	4	78.77	5	1.9655	2.2065	167.02	0.92	1.93	131.93	40.78	33.1	True	no	0.318453731118535	0.675746665879778	0.699567540066141	-0.357292934761243
92	Aragonite	1.125	1.1968	5	98.28	5.72	1.4166	1.4009	101.85	0.86	1.86	65.75	24.37	74.07	True	no	0.117783035656383	0.348259634337385	0.79415501905972	-0.230476598681002
93	Aragonite	1.3125	1.2927	3	315.14	5.76	1.5154	1.3741	94.196	1	2.07	102.38	40.34	62.11	True	no	0.271933715483642	0.415679430515136	0.86610795829484	-0.143745715031494
94	Aragonite	0.875	1.0555	3	325.21	4.43	1.2269	1.3512	143.63	0.84	2.57	176.58	118.84	51.55	True	no	-0.133531392624523	0.204490662815	0.713179558236205	-0.338022055439523
95	Aragonite	1.8125	1.5191	5	349.41	5.59	1.8175	1.4314	114.06	0.89	1.46	115.7	39.46	78.62	True	no	0.594707107746693	0.597461930425537	0.997248968363136	-0.00275482267884451
96	Aragonite	1.6875	1.4658	4	40	6	1.7708	1.4595	19.736	1.02	1.79	139.18	78.14	58.99	True	no	0.523248143764548	0.571431421875849	0.952959114524509	-0.048183278111301
97	Aragonite	3	1.9544	7	72.81	8.75	2.4164	1.5287	62.079	0.94	1.81	158.26	108.65	35.39	True	no	1.09861228866811	0.882278829282449	1.24151630524748	0.216333459385661
98	Aragonite	7.3125	3.0513	7	85.72	9.96	3.7824	1.5366	2.0507	1.8	3.05	160.38	98.79	22.32	True	no	1.98958521255797	1.33035872878959	1.93329631979695	0.659226483768388
99	Aragonite	0.875	1.0555	4	258.07	5.29	1.2977	1.5115	36.027	0.25	0.44	72.71	45.89	69.2	True	no	-0.133531392624523	0.260593466761048	0.674269862063651	-0.39412485938557
100	Aragonite	1.8125	1.5191	5	301.03	5.97	1.8993	1.5631	10.356	0.82	1.73	159.92	99.64	49.06	True	no	0.594707107746693	0.641485397236053	0.954298952245564	-0.0467782894893607
101	Aragonite	0.875	1.0555	3	311.5	5.29	1.0667	1.0214	90	0.67	0.83	25.81	45.13	119.38	True	no	-0.133531392624523	0.0645697706493001	0.820286866035436	-0.198101163273823
102	Aragonite	0.6875	0.9356	5	542	5.73	1.1406	1.4863	22.941	0.51	0.63	72.07	40.97	46.38	True	no	-0.374693449441411	0.131554439740301	0.602752937050675	-0.506247889181712
103	Aragonite	0.8125	1.0171	4	68.15	6.77	1.4366	1.9949	22.211	0.62	1.47	121.12	56.48	40.43	True	no	-0.207639364778244	0.362279210658564	0.565571488236113	-0.569918575436809
104	Aragonite	0.75	0.97721	4	114.58	7.33	1.131	1.3396	111.42	0.77	1.32	127.45	62.17	23.71	True	no	-0.287682072451781	0.123102197133983	0.663129973474801	-0.410784269585764
105	Aragonite	4	2.2568	5	178.88	11.38	4.0657	3.2457	132.84	0.87	2.53	131.67	98.02	40.47	True	no	1.38629436111989	1.40258592989678	0.9838404210837	-0.0162915687768858
106	Aragonite	5.5625	2.6613	4	206.22	10.46	3.3113	1.5482	47.197	1.38	2.31	5.39	34.59	109.02	True	no	1.71604764749236	1.19734086152789	1.67985383384169	0.518706785964471
107	Aragonite	1.875	1.5451	2	240.7	8.17	2.2079	2.042	126.34	0.85	1.24	137.88	67.92	20.32	True	no	0.628608659422374	0.79204183753416	0.849223243806332	-0.163433178111786
108	Aragonite	0.9375	1.0925	4	321.93	6.47	1.2671	1.3451	12.171	0.41	0.64	89	29.8	70.55	True	no	-0.0645385211375712	0.236730824822725	0.739878462631205	-0.301269345960297
109	Aragonite	1.9375	1.5706	3	337.35	8.1	1.7744	1.2763	112.62	0.82	1.79	27.72	33.43	145.1	True	no	0.661398482245365	0.573462337613965	1.09191839495041	0.0879361446313996
110	Aragonite	0.6875	0.9356	2	346.64	7.27	1.3044	1.9438	118.96	0.59	0.82	177.86	97.36	10.51	True	no	-0.374693449441411	0.265743164933027	0.5270622508433	-0.640436614374438
111	Aragonite	0.9375	1.0925	3	353.73	7.33	1.1968	1.1999	84.116	0.42	1.09	114.77	36.61	79.32	True	no	-0.0645385211375712	0.179651328238076	0.783338903743315	-0.244189849375647
112	Aragonite	0.6875	0.9356	3	367.45	6.27	0.96715	1.0686	146.6	0.39	0.78	139.78	46.59	28.55	True	no	-0.374693449441411	-0.0334016766340303	0.710851470816316	-0.34129177280738
113	Aragonite	4	2.2568	6	547.14	9.92	2.4871	1.2145	75.061	0.81	1.55	42.03	27.67	56.09	True	no	1.38629436111989	0.911117373100158	1.60829882192111	0.475176988019733
114	Aragonite	0.6875	0.9356	3	554.18	6.55	1.1479	1.5054	131.03	0.87	1.74	107.51	84.73	29.01	True	no	-0.374693449441411	0.137934186089314	0.598919766530186	-0.512627635530725
115	Aragonite	1.75	1.4927	3	585.61	7.68	2.4558	2.7066	149.43	0.65	1.39	113.42	80.02	28.68	True	no	0.559615787935423	0.898452573744275	0.712598745826207	-0.338836785808853
116	Aragonite	1.375	1.3231	5	95.18	8.18	1.7684	1.7862	125.12	0.75	1.29	148.46	152.06	12.69	True	no	0.318453731118535	0.570075182969951	0.777539018321647	-0.251621451851416
117	Aragonite	1.875	1.5451	4	170.8	9.5	2.1177	1.8785	130.09	0.81	1.67	101.86	71.89	53.62	True	no	0.628608659422374	0.750330594087399	0.885394531803372	-0.121721934665025
118	Aragonite	0.75	0.97721	3	212.75	7.92	1.329	1.8497	85.163	0.52	1.44	73.92	53.89	50.13	True	no	-0.287682072451781	0.284426779731108	0.564334085778781	-0.572108852182889
119	Aragonite	1.4375	1.3529	4	217.87	8	1.8196	1.809	146.75	0.86	1.52	152.01	53.93	7.62	True	no	0.362905493689368	0.598616696713712	0.79000879314135	-0.235711203024344
120	Aragonite	0.75	0.97721	2	290.67	7.83	1.2246	1.5705	154.46	0.86	0.89	60.84	26.82	92.71	True	no	-0.287682072451781	0.202614260061717	0.612444879960804	-0.490296332513498
121	Aragonite	3.625	2.1484	4	318.53	10.53	2.8195	1.7223	1.0059	1.48	3.44	8.44	50.88	134.89	True	no	1.28785428830664	1.0365595642651	1.28568895194183	0.251294724041538
122	Aragonite	0.6875	0.9356	3	507.45	7.09	1.435	2.3525	169.15	0.31	1.18	118.62	99.35	39.09	True	no	-0.374693449441411	0.361164849211584	0.479094076655052	-0.735858298652995
123	Aragonite	1	1.1284	4	538.31	8.5	1.5741	1.946	81.255	0.82	1.35	42.88	27.78	54.12	True	no	0	0.453683680378639	0.635283654151579	-0.453683680378639
124	Aragonite	2.9375	1.9339	5	579.91	9.45	2.276	1.385	135.92	0.84	2.72	141.91	123.97	36.59	True	no	1.07755887947028	0.822419516264084	1.29064147627417	0.255139363206193
125	Aragonite	2.375	1.7389	4	594.34	9.03	1.7667	1.0321	148.03	0.65	1.35	127.39	115.31	12.36	True	no	0.864997437486605	0.569113399636498	1.34431425822154	0.295884037850107
126	Aragonite	2.625	1.8282	2	603.24	10.38	2.1508	1.3841	88.967	0.66	1.47	115.34	63.93	13.08	True	no	0.965080896043587	0.765839865953386	1.22047610191557	0.199241030090201
127	Aragonite	6.75	2.9316	3	613.54	10.59	2.9005	1.9577	128.64	0.89	2.87	137.09	109.92	8.12	True	edge	1.90954250488444	1.06488313592398	2.32718496810895	0.844659368960456
128	Aragonite	1	1.1284	3	12.94	9.69	1.6719	2.1954	116.27	0.55	0.86	15.92	67.7	112.18	True	no	0	0.513960704261463	0.598121897242658	-0.513960704261463
129	Aragonite	14.188	4.2502	7	45.46	14.36	5.6289	1.754	10.081	1.44	2.68	3.49	72.09	120.42	True	no	2.65239653691138	1.7279140411793	2.52056352040363	0.924482495732074
130	Aragonite	1.5625	1.4105	3	182.72	10.44	2.652	3.5352	124.12	0.51	0.84	123.44	96.37	38.59	True	no	0.44628710262842	0.975314072323616	0.589177978883861	-0.529026969695197
131	Aragonite	3.5	2.111	6	257.5	9.91	2.6441	1.5689	1.4454	0.76	1.36	0.73	50.41	120.38	True	no	1.25276296849537	0.972330742756828	1.32370182670852	0.28043222573854
132	Aragonite	1.5	1.382	3	279.54	8.5	1.9474	1.9856	158.34	1.05	1.78	15.43	47.54	124.76	True	no	0.405465108108164	0.666495149562519	0.770257779603574	-0.261030041454354
133	Aragonite	0.875	1.0555	4	295.5	8.71	1.4558	1.9023	20.035	0.5	0.97	83.08	48.4	81.22	True	no	-0.133531392624523	0.37555557770202	0.601044099464212	-0.509086970326543
134	Aragonite	0.8125	1.0171	2	307.08	9.54	1.7286	2.8882	113.96	0.71	1.01	29.99	60.44	114.91	True	no	-0.207639364778244	0.547311832336401	0.470033553164411	-0.754951197114645
135	Aragonite	0.875	1.0555	3	309.43	9.29	1.5276	2.0947	104.11	0.31	1.03	39.36	55.53	111.02	True	no	-0.133531392624523	0.423697876369224	0.572793925111286	-0.557229268993747
136	Aragonite	1.125	1.1968	2	331.28	10	1.6322	1.8599	90	0.87	1.32	78.56	41.55	71.17	True	no	0.117783035656383	0.489928798053005	0.689253767920598	-0.372145762396622
137	Aragonite	1.25	1.2616	4	363.3	8.9	1.6092	1.627	23.955	0.73	1.25	177.44	81.03	38.64	True	no	0.22314355131421	0.475737161093496	0.7767834949043	-0.252593609779286
138	Aragonite	2.8125	1.8923	6	562.42	11	2.6966	2.0306	129.32	0.94	1.67	47.21	22.17	67.83	True	no	1.03407376753054	0.991991720217837	1.04298004895053	0.0420820473127014
139	Aragonite	0.6875	0.9356	2	565.91	8.45	1.2138	1.6832	39.435	0.59	1.37	102.77	57.45	30.84	True	no	-0.374693449441411	0.193755934419618	0.566403031800956	-0.568449383861029
140	Aragonite	0.625	0.89206	3	575.1	8.8	1.026	1.3229	63.435	0.55	1.03	115.96	78.11	27.59	True	no	-0.470003629245736	0.0256677467485778	0.60916179337232	-0.495671375994313
