Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
50,Aragonite,2.43,1.759,5,178.33,4.07,1.7839,1.0285,154.43,0.43,0.83,47.36,64.04,124.25,True,no,0.887891257352457,0.578801978775085,1.36218397892259,0.309089278577372
51,Aragonite,1.53,1.3957,4,217.47,3.59,1.6755,1.4411,117.94,1.04,2.84,125.08,85.85,77.1,True,no,0.425267735404344,0.516111628195228,0.913160250671441,-0.090843892790884
52,Aragonite,4.59,2.4175,5,265.35,5.45,2.6732,1.2227,102.82,0.81,1.48,145.41,83.3,107.24,True,no,1.52388002407245,0.983276256654778,1.71704324405207,0.540603767417676
53,Aragonite,1.71,1.4755,4,88,5.16,1.9366,1.7225,103.77,0.28,0.61,80.57,102.86,70.41,True,no,0.536493370514568,0.660933858195294,0.882990808633688,-0.124440487680725
54,Aragonite,1.8,1.5139,4,120.8,4.3,1.8692,1.5246,149.02,0.8,1.62,71.38,94.03,68.45,True,no,0.587786664902119,0.625510531844134,0.962978814466082,-0.037723866942015
55,Aragonite,2.52,1.7912,4,152.5,5.25,2.2791,1.619,123.01,0.39,0.75,163.58,55.39,65.09,True,no,0.924258901523332,0.823780628195149,1.10569961827037,0.100478273328183
56,Aragonite,1.71,1.4755,5,171.47,4.84,2.241,2.3067,113.67,0.42,0.98,171.45,67.17,48.03,True,no,0.536493370514568,0.80692219481879,0.763052208835341,-0.270428824304222
57,Aragonite,1.89,1.5513,2,189.48,5,1.9428,1.5685,91.557,0.67,0.96,37.79,74.48,67.56,True,no,0.636576829071551,0.664130231489453,0.972822730080296,-0.0275534024179018
58,Aragonite,0.9,1.0705,3,221.2,3.5,1.2526,1.3693,90,0.58,0.76,177.75,96.03,77.15,True,no,-0.105360515657826,0.225221391109175,0.718505508542232,-0.330581906767002
59,Aragonite,2.7,1.8541,5,227.43,5.97,2.7556,2.2088,94.961,0.81,1.65,99.52,95.48,62.54,True,no,0.993251773010283,1.0136352047369,0.97982290608216,-0.0203834317266203
60,Aragonite,1.8,1.5139,4,244.35,5.35,1.8899,1.5584,81.738,0.53,1.46,4.27,95.49,65.04,True,no,0.587786664902119,0.636523917618855,0.95243134557384,-0.0487372527167357
61,Aragonite,8.46,3.282,7,252.44,7.36,3.8921,1.4063,153.33,1.57,3.51,66.57,117.58,83.47,True,no,2.13534917361813,1.35894885772441,2.17363377097197,0.776400315893722
62,Aragonite,1.35,1.3111,2,378,3.8,1.6603,1.6037,146.45,0.54,1.04,117.46,20.29,92.84,True,no,0.300104592450338,0.506998308931604,0.813106065168945,-0.206893716481266
63,Aragonite,1.08,1.1726,3,98.92,4.33,1.3054,1.2393,124.72,0.42,0.61,84.05,91.66,65.55,True,no,0.0769610411361284,0.26650950721898,0.827332618354527,-0.189548466082852
64,Aragonite,1.62,1.4362,4,148.67,5.94,2.1413,2.2229,92.031,0.6,2.25,98.15,63.24,72.79,True,no,0.482426149244293,0.761413121230034,0.756549759491897,-0.278986971985741
65,Aragonite,2.97,1.9446,5,183.33,6.7,2.8512,2.1497,92.837,0.56,1.82,0.06,72.17,85.27,True,no,1.08856195281461,1.04773995829435,1.04166666666667,0.0408219945202552
66,Aragonite,2.79,1.8848,5,210.68,6,2.3131,1.5062,153.83,0.83,1.56,175.33,99.7,75.6,True,no,1.02604159583327,0.838588616210118,1.20617353335351,0.187452979623156
67,Aragonite,0.9,1.0705,2,258.2,5.1,1.4327,1.7912,69.379,0.36,0.57,1.9,98.44,58.8,True,no,-0.105360515657826,0.35956077591719,0.628184546660152,-0.464921291575016
68,Aragonite,2.7,1.8541,5,260.93,7.7,2.5591,1.905,102.32,0.69,1.56,125.79,113.63,112.22,True,no,0.993251773010283,0.939655634178888,1.05505841897542,0.0535961388313958
69,Aragonite,1.8,1.5139,3,291.85,6.8,2.4239,2.5635,92.828,0.58,0.88,78.07,22.4,18.3,True,no,0.587786664902119,0.885377813230681,0.742604892941128,-0.297591148328562
70,Aragonite,1.62,1.4362,5,320.72,5.83,2.0009,1.9409,65.987,0.54,0.94,55.78,73.56,1.91,True,no,0.482426149244293,0.69359707934031,0.809635663951222,-0.211170930096017
71,Aragonite,1.26,1.2666,4,324.93,5.64,1.9995,2.4921,46.884,0.57,1.34,41.16,40.68,27.78,True,no,0.231111720963387,0.692897149304736,0.630157539384846,-0.461785428341349
72,Aragonite,3.33,2.0591,5,353.51,5.68,2.6382,1.6415,24.905,0.55,1.3,28.9,76.96,175.74,True,no,1.20297230399235,0.970096866432682,1.26222424380259,0.23287543755967
73,Aragonite,5.4,2.6221,5,372.37,7.97,3.6039,1.889,65.756,0.47,1.4,28.82,129.38,170.36,True,no,1.68639895357023,1.2820165924133,1.49837675851161,0.404382361156927
74,Aragonite,0.99,1.1227,1,85.55,5.82,1.3961,1.5462,96.88,0.73,0.91,147.39,112.87,92.53,True,no,-0.0100503358535015,0.333682635012465,0.709118258004441,-0.343732970865967
75,Aragonite,0.9,1.0705,3,103.4,6.3,1.5256,2.031,79.695,0.54,1.44,9.98,65.7,84.34,True,no,-0.105360515657826,0.422387775304072,0.589931830099633,-0.527748290961899
76,Aragonite,10.35,3.6302,10,192.66,10.17,4.2433,1.3664,16.801,1.35,2.89,160.44,112.67,84.67,True,no,2.33698651971138,1.44534126841081,2.43913934909151,0.891645251300571
77,Aragonite,11.34,3.7998,5,338.91,11.71,7.7809,4.1931,35.705,0.6,2.05,23.17,140.27,172.69,True,no,2.42833629829961,2.05167201273368,1.45741495199784,0.376664285565931
78,Aragonite,12.15,3.9332,8,360.8,12.4,7.1591,3.313,32.781,0.62,1.89,64.98,16.1,149.36,True,no,2.49732916978656,1.96838427474784,1.69714070204355,0.528944895038722
79,Aragonite,1.17,1.2205,0,75.38,6.62,1.3223,1.1737,45,0.46,0.6,160.54,41.56,43.13,True,no,0.157003748809665,0.27937264458064,0.884821901232701,-0.122368895770975
80,Aragonite,3.06,1.9739,6,96.74,7.68,2.3241,1.3864,155.86,0.34,1.14,146.41,112.09,79.21,True,no,1.11841491596429,0.84333286732383,1.31663869885117,0.27508204864046
81,Aragonite,4.23,2.3207,4,135.45,8.91,2.4923,1.1534,4.1357,0.7,1.45,37.76,60.95,105.3,True,no,1.44220199305819,0.913205978912231,1.69722746057858,0.528996014145956
82,Aragonite,2.52,1.7912,3,169.14,8.07,2.1087,1.3858,120.69,0.67,1.67,38.24,70.17,130.1,True,no,0.924258901523332,0.746071643867832,1.19504908237303,0.1781872576555
83,Aragonite,2.97,1.9446,5,203.36,9.36,2.6812,1.901,91.769,0.97,2.4,105.08,101.57,76.35,True,no,1.08856195281461,0.986264455501666,1.10771296434432,0.102297497312943
84,Aragonite,1.89,1.5513,3,222.81,8.33,2.1921,1.9968,89.335,0.35,1.27,40.51,64.8,75.23,True,no,0.636576829071551,0.784859988483145,0.862186944026276,-0.148283159411594
85,Aragonite,4.68,2.4411,4,236.63,10.19,2.653,1.1812,113.38,0.54,2.06,11.82,96.65,97.22,True,no,1.54329810992956,0.975691075155603,1.76404070863174,0.567607034773953
86,Aragonite,0.99,1.1227,3,317,7.27,1.511,1.8113,74.745,0.53,1.3,71.3,139.72,25.21,True,no,-0.0100503358535015,0.412771683290602,0.655195234943746,-0.422822019144104
87,Aragonite,5.4,2.6221,5,332.38,10.23,5.0146,3.6573,39.478,0.57,2.02,27.41,47.17,155.57,True,no,1.68639895357023,1.612353657515,1.07685558170143,0.0740452960552317
88,Aragonite,0.9,1.0705,2,380.3,6.3,1.5607,2.1256,166.43,0.51,0.72,40.12,65.99,157.81,True,no,-0.105360515657826,0.445134438566371,0.576664317293522,-0.550494954224197
89,Aragonite,1.89,1.5513,5,391.71,7.05,1.8465,1.4169,16.094,0.49,1.17,51.06,115.4,13.45,True,no,0.636576829071551,0.613291955310481,1.02355808285946,0.02328487376107
90,Aragonite,2.79,1.8848,6,158.74,10.19,2.4989,1.7579,98.875,0.6,1.36,19.99,91.6,67.64,True,no,1.02604159583327,0.915850635045751,1.11649125615271,0.110190960787523
91,Aragonite,2.34,1.7261,6,176.73,10.15,3.1876,3.4104,119.18,0.77,1.72,124.22,103.79,74.61,True,no,0.85015092936961,1.15926828254146,0.734094616639478,-0.309117353171846
92,Aragonite,0.9,1.0705,4,216.6,7.2,1.3827,1.6684,49.065,0.6,1.11,175.99,97.27,75.54,True,no,-0.105360515657826,0.324038109412435,0.650900412236928,-0.429398625070262
93,Aragonite,1.26,1.2666,3,219.86,8.29,1.4648,1.3375,93.563,0.23,0.58,33.25,114.49,86.47,True,no,0.231111720963387,0.381718714378164,0.860185690879301,-0.150606993414777
94,Aragonite,1.44,1.3541,4,241.81,8.69,1.6924,1.5622,107.75,0.61,1.14,174.01,89.03,104.2,True,no,0.364643113587909,0.526147639863775,0.850862680217443,-0.161504526275866
95,Aragonite,1.44,1.3541,3,269.25,8.81,2.0634,2.3221,91.089,0.47,0.63,29.96,109.64,87.44,True,no,0.364643113587909,0.724355107684139,0.697877289909857,-0.359711994096229
96,Aragonite,4.32,2.3453,4,354.94,9.58,3.9701,2.8656,17.992,0.88,1.7,39.63,24.93,167.46,True,no,1.46325540225602,1.37879128329874,1.08813380015617,0.0844641189572788
97,Aragonite,2.43,1.759,3,91.11,9.48,1.9325,1.2071,161.91,0.37,1.05,34.9,75.3,67.7,True,no,0.887891257352457,0.65881450147944,1.25743855109961,0.229076755873017
98,Aragonite,1.26,1.2666,3,120.07,8.21,1.469,1.3451,30.763,0.75,1.73,135.13,110.78,84.3,True,no,0.231111720963387,0.38458189719174,0.857726344452008,-0.153470176228354
99,Aragonite,3.24,2.0311,7,127.47,11,2.8042,1.9062,138.34,0.53,1,134.88,110.6,85.67,True,no,1.17557332980424,1.03111829330489,1.15540974252906,0.144455036499344
100,Aragonite,1.8,1.5139,4,179.85,9.05,2.0924,1.9104,119.02,0.5,1.02,63.11,85.63,68.14,True,no,0.587786664902119,0.738311732514319,0.860256165169184,-0.1505250676122
101,Aragonite,1.26,1.2666,5,206.93,9.14,1.667,1.7322,97.161,0.27,0.51,145.34,118.16,74.38,True,no,0.231111720963387,0.511025603768657,0.755848830233953,-0.27991388280527
102,Aragonite,13.5,4.1459,8,304.65,14.3,5.5227,1.7744,57.952,1.13,2.65,51.24,88.12,35.41,True,no,2.60268968544438,1.70886687113849,2.44445651583465,0.893822814305895
103,Aragonite,3.87,2.2198,8,385.33,9.42,3.1378,1.9982,171.57,0.71,1.45,32.81,58.53,167.94,True,no,1.35325450704169,1.14352191741672,1.23334820574925,0.209732589624972
