Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
132	Aragonite	1.2493	1.2612	2	45.31	86.08	1.3567	1.1571	118.76	0.37	0.80	58.92	28.09	95.35	True	no
133	Aragonite	1.3454	1.3088	2	117.00	85.86	1.74	1.7675	38.953	0.36	1.06	163.36	74.24	46.93	True	no
134	Aragonite	36.71	6.8367	4	11.64	93.40	6.5221	1.8201	4.6364	1.13	3.56	60.53	17.76	120.44	True	edge
135	Aragonite	1.0571	1.1601	2	69.55	86.64	1.2458	1.1531	18.435	0.51	0.94	42.93	68.83	86.07	True	no
136	Aragonite	2.883	1.9159	5	107.37	87.77	2.1599	1.2709	104.7	0.72	1.39	44.52	71.57	75.84	True	no
137	Aragonite	1.0571	1.1601	0	192.45	87.36	1.516	1.7076	81.449	0.38	0.65	18.63	89.13	166.79	True	no
138	Aragonite	1.1532	1.2117	0	217.92	87.08	1.2638	1.0877	135	0.00	0.00	72.09	96.91	61.65	True	no
139	Aragonite	2.883	1.9159	2	25.67	89.57	3.0556	2.5435	47.895	0.36	0.84	177.46	62.63	42.13	True	no
140	Aragonite	3.6518	2.1563	2	40.29	90.42	2.8265	1.7183	97.87	0.58	1.43	41.92	52.79	20.78	True	no
141	Aragonite	2.883	1.9159	5	53.70	88.53	2.4423	1.625	16.447	0.80	1.60	173.34	139.78	47.42	True	no
142	Aragonite	2.3064	1.7137	7	84.75	88.42	2.2523	1.7274	104.54	0.72	1.15	106.21	106.60	22.78	True	no
143	Aragonite	5.3816	2.6176	6	132.32	92.34	3.7119	2.0108	84.362	1.94	3.57	160.36	75.31	39.24	True	no
144	Aragonite	4.1323	2.2938	7	73.81	91.19	3.274	2.0374	122.51	0.75	1.65	16.42	153.62	37.14	True	no
145	Aragonite	0.961	1.1062	3	82.80	89.60	1.4625	1.7481	111.83	0.59	0.98	164.84	157.13	67.51	True	no
146	Aragonite	1.1532	1.2117	2	118.33	88.92	1.349	1.2393	145.28	0.35	1.01	103.40	47.94	76.95	True	no
147	Aragonite	3.2674	2.0397	5	136.74	91.76	3.1623	2.4037	90.53	1.11	2.68	22.58	54.91	133.37	True	no
148	Aragonite	1.2493	1.2612	3	154.08	89.69	1.91	2.2934	102.96	0.62	1.68	51.83	106.17	27.16	True	no
149	Aragonite	1.2493	1.2612	5	87.77	90.15	1.8588	2.1722	88.682	0.42	0.87	164.29	157.11	67.02	True	no
150	Aragonite	3.844	2.2123	4	102.70	92.50	2.9582	1.788	80.014	0.81	1.31	130.36	70.75	6.70	True	no
151	Aragonite	1.922	1.5643	4	112.90	90.25	1.7224	1.2123	87.95	0.38	1.13	79.62	80.78	109.01	True	no
152	Aragonite	2.1142	1.6407	4	141.82	89.45	2.5301	2.378	5.0154	1.07	1.86	159.98	75.09	37.22	True	no
153	Aragonite	8.3607	3.2627	7	146.72	93.30	5.0038	2.3521	35.001	1.22	2.85	93.86	37.92	78.18	True	no
