Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
871	Aragonite	1.9343	1.5693	3	261.43	142.74	2.0147	1.6482	133.24	0.97	2.53	132.74	119.16	7.30	True	no
872	Aragonite	2.4389	1.7622	4	269.28	142.90	2.1742	1.5223	136.4	0.76	2.50	111.88	106.03	2.52	True	no
873	Aragonite	1.0933	1.1798	4	279.15	141.46	1.2713	1.1611	76.224	0.71	0.92	105.45	23.51	2.20	True	no
874	Aragonite	1.5138	1.3883	5	293.39	142.67	1.8509	1.7774	74.875	0.80	1.13	33.98	115.89	108.24	True	no
875	Aragonite	1.7661	1.4996	4	301.10	142.62	1.6471	1.2064	56.201	0.48	2.12	6.64	144.30	32.10	True	no
876	Aragonite	1.5138	1.3883	2	341.61	142.50	1.9976	2.0703	124.98	0.56	0.86	119.72	132.10	165.04	True	no
877	Aragonite	1.3456	1.3089	4	349.00	142.25	1.6218	1.5352	78.583	0.61	1.71	105.93	156.56	175.32	True	no
878	Aragonite	1.5979	1.4264	3	453.84	142.11	2.2297	2.4436	143.86	0.92	1.48	103.91	149.47	9.18	True	no
879	Aragonite	1.8502	1.5348	6	582.27	142.23	1.6666	1.1791	162.65	0.60	0.90	170.33	38.22	18.41	True	no
880	Aragonite	4.0368	2.2671	5	588.73	143.77	2.6949	1.413	65.805	1.11	2.38	16.50	106.10	28.88	True	no
881	Aragonite	0.841	1.0348	3	702.10	142.00	1.7334	2.8059	70.763	0.82	0.99	141.24	79.30	122.05	True	no
882	Aragonite	3.364	2.0696	1	39.33	145.48	3.1311	2.2889	50.256	0.60	1.66	114.11	47.24	154.89	True	no
883	Aragonite	1.0092	1.1336	3	62.33	142.50	1.297	1.3093	37.238	0.52	0.77	136.59	97.79	78.94	True	no
884	Aragonite	2.8594	1.9081	5	68.53	145.32	2.3655	1.537	114.73	1.06	2.24	78.00	109.70	93.72	True	no
885	Aragonite	1.5138	1.3883	4	79.72	142.56	1.4976	1.1637	15.903	0.74	0.97	78.86	112.17	92.82	True	no
886	Aragonite	3.5322	2.1207	5	94.50	145.62	2.8213	1.7698	82.375	0.64	1.75	151.42	38.98	152.18	True	no
887	Aragonite	0.9251	1.0853	4	152.36	142.36	1.3303	1.5025	149.71	0.56	0.95	15.16	136.01	31.47	True	no
888	Aragonite	3.1117	1.9905	7	212.59	144.19	2.2034	1.2254	112.84	0.73	1.07	73.10	169.52	84.70	True	no
889	Aragonite	1.5979	1.4264	5	216.95	144.58	2.1012	2.1701	93.31	0.65	1.08	162.54	116.85	167.94	True	no
890	Aragonite	3.1958	2.0172	4	234.29	144.55	2.4151	1.4334	44.231	1.33	2.02	111.97	8.76	109.74	True	no
891	Aragonite	1.8502	1.5348	3	324.09	143.36	1.6494	1.1549	91.385	0.76	1.62	74.30	43.60	66.67	True	no
892	Aragonite	6.0552	2.7766	5	363.46	145.69	3.042	1.2003	120.37	0.73	1.95	17.15	133.66	131.99	True	no
893	Aragonite	10.008	3.5697	6	384.87	148.51	5.3541	2.2496	33.562	2.09	5.52	66.58	118.79	46.92	True	no
894	Aragonite	0.841	1.0348	4	460.00	142.80	1.1638	1.2649	90	0.32	0.46	161.27	108.65	103.73	True	no
895	Aragonite	1.9343	1.5693	2	472.09	143.70	2.2374	2.0326	39.666	1.09	1.90	93.68	107.67	83.14	True	no
896	Aragonite	3.9527	2.2434	5	523.26	144.36	2.7662	1.5204	174.6	1.24	2.59	3.27	31.91	154.67	True	no
897	Aragonite	2.3548	1.7315	4	654.68	143.29	2.2128	1.6332	10.554	1.19	2.27	5.47	33.53	148.64	True	no
898	Aragonite	1.1774	1.2244	4	108.00	144.00	1.4247	1.354	90	0.52	1.23	149.58	24.26	112.19	True	no
899	Aragonite	3.1958	2.0172	4	157.53	144.84	2.061	1.0439	173.74	0.62	1.66	140.14	56.22	128.82	True	no
900	Aragonite	2.8594	1.9081	4	162.03	146.85	2.8454	2.2239	83.167	0.68	1.54	45.46	134.93	112.17	True	no
901	Aragonite	1.0092	1.1336	3	244.50	143.83	1.5035	1.7593	90	0.53	0.64	81.20	137.24	138.07	True	no
902	Aragonite	2.0184	1.6031	4	252.29	145.67	2.4281	2.2941	103.69	0.72	1.81	140.47	76.03	40.94	True	no
903	Aragonite	1.2615	1.2674	3	304.40	144.20	1.5505	1.4967	73.363	0.60	1.20	78.98	74.97	90.17	True	no
904	Aragonite	2.6912	1.8511	5	513.00	146.03	2.3194	1.57	93.52	0.80	1.72	83.30	82.40	179.01	True	no
905	Aragonite	1.8502	1.5348	5	543.77	145.05	2.3534	2.351	127.81	1.56	2.36	79.60	136.16	70.69	True	no
906	Aragonite	6.9803	2.9812	4	562.39	149.45	3.4567	1.3444	50.259	1.43	2.58	61.53	146.75	81.40	True	no
907	Aragonite	8.7464	3.3371	7	592.23	149.17	5.3002	2.5226	53.208	1.22	2.84	23.14	148.03	178.96	True	no
908	Aragonite	17.745	4.7533	8	688.81	150.10	5.76	1.4685	134.1	1.33	3.08	135.22	139.93	35.32	True	no
909	Aragonite	2.2707	1.7003	4	113.33	146.22	2.3074	1.8415	45.931	0.92	1.71	75.72	165.73	48.37	True	no
910	Aragonite	0.841	1.0348	4	127.00	144.50	1.3223	1.633	116.57	0.34	1.01	128.20	59.90	174.30	True	no
911	Aragonite	0.9251	1.0853	3	165.55	144.55	1.6984	2.4489	123.82	0.27	0.48	98.32	120.60	174.09	True	no
912	Aragonite	2.2707	1.7003	4	169.52	147.22	2.5522	2.253	76.183	0.98	2.21	88.02	11.11	160.77	True	no
913	Aragonite	1.3456	1.3089	5	177.38	144.56	1.4635	1.2502	66.255	0.60	1.14	3.76	106.67	142.08	True	no
914	Aragonite	1.3456	1.3089	3	187.94	145.06	1.691	1.6691	144.94	0.71	1.36	32.54	62.34	143.07	True	no
915	Aragonite	4.1209	2.2906	7	195.65	146.33	2.4854	1.1774	147.89	0.68	1.68	40.69	55.38	133.89	True	no
916	Aragonite	2.1866	1.6686	5	298.08	145.58	2.2194	1.7693	138.26	0.50	0.94	138.13	82.23	84.66	True	no
917	Aragonite	1.0092	1.1336	3	450.42	145.33	1.7619	2.416	90.804	0.39	0.44	158.89	49.84	96.47	True	no
918	Aragonite	22.118	5.3068	14	464.40	150.43	7.2889	1.8865	175.44	1.72	4.73	160.03	105.99	102.84	True	no
919	Aragonite	2.7753	1.8798	2	571.67	145.48	3.0175	2.5768	24.609	0.89	2.10	171.70	120.52	149.21	True	no
920	Aragonite	14.297	4.2666	11	662.24	151.37	4.9852	1.3653	174.86	1.86	3.55	123.93	29.58	38.37	True	no
921	Aragonite	25.735	5.7242	6	716.70	150.14	4.3627	1.1618	123.02	0.94	2.52	152.49	42.14	8.08	True	edge
922	Aragonite	1.682	1.4634	4	59.95	147.05	1.9509	1.7772	85.805	0.55	0.80	31.84	131.51	38.92	True	no
923	Aragonite	2.2707	1.7003	5	65.22	147.52	2.5019	2.1651	85.485	0.98	1.92	142.37	95.03	108.69	True	no
924	Aragonite	16.988	4.6508	11	73.65	153.88	5.6852	1.4943	70.296	2.53	5.49	12.33	99.81	69.92	True	no
925	Aragonite	2.6912	1.8511	5	100.22	147.31	1.9267	1.0833	152.07	0.79	2.11	137.29	108.99	143.28	True	no
926	Aragonite	0.9251	1.0853	4	105.73	145.64	1.8076	2.7739	139.73	0.33	0.50	174.97	150.79	48.14	True	no
927	Aragonite	0.9251	1.0853	5	124.27	146.27	1.4058	1.6779	80.008	0.41	0.71	18.40	146.03	34.53	True	no
928	Aragonite	3.1117	1.9905	5	153.16	148.19	2.6792	1.8118	118.13	0.85	1.41	23.08	136.47	70.61	True	no
