Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
3800	Aragonite	3.7908	2.197	3	438.46	376.83	2.801	1.6255	76.991	0.92	1.96	158.85	121.13	17.83	True	no
3801	Aragonite	1.0935	1.18	3	123.53	374.00	1.319	1.2495	13.675	0.66	0.83	89.19	94.04	32.21	True	no
3802	Aragonite	6.1236	2.7923	7	189.51	383.55	6.9421	6.1811	104.12	1.98	4.30	74.91	75.75	146.70	True	no
3803	Aragonite	1.3122	1.2926	5	235.56	374.61	1.8389	2.024	112.47	0.64	1.10	163.24	98.57	120.47	True	no
3804	Aragonite	2.1141	1.6407	4	240.93	374.48	1.9899	1.4711	11.377	0.70	1.60	67.72	50.90	2.65	True	no
3805	Aragonite	2.9889	1.9508	5	252.61	377.66	3.0297	2.412	105.93	0.65	1.96	118.35	64.59	18.81	True	no
3806	Aragonite	0.729	0.96343	3	326.00	373.20	1.0835	1.2649	90	0.82	1.06	124.05	21.15	154.84	True	no
3807	Aragonite	2.1141	1.6407	5	331.69	377.86	3.0346	3.4211	91.644	1.43	2.76	127.40	40.66	157.51	True	no
3808	Aragonite	7.2171	3.0314	6	375.52	382.44	5.1909	2.9323	92.105	0.65	1.34	38.16	65.40	127.27	True	no
3809	Aragonite	1.1664	1.2186	3	431.50	374.19	1.4423	1.4007	110.39	0.71	1.48	140.24	59.28	17.84	True	no
3810	Aragonite	2.187	1.6687	2	444.03	374.97	2.0219	1.4681	129.16	0.55	1.99	81.53	14.96	65.53	True	no
3811	Aragonite	1.0206	1.1399	1	448.00	373.50	1.6271	2.0374	143.23	0.58	0.81	154.35	121.57	17.07	True	no
3812	Aragonite	7.2171	3.0314	6	501.98	380.17	4.9433	2.6593	118.97	0.85	2.98	114.88	151.62	174.84	True	no
3813	Aragonite	1.8954	1.5535	4	509.54	376.65	3.074	3.9157	108.55	0.84	1.48	121.80	35.62	174.60	True	no
3814	Aragonite	6.7068	2.9222	2	18.37	380.78	4.0536	1.9242	87.202	0.81	1.96	10.00	78.98	24.78	True	no
3815	Aragonite	1.8954	1.5535	2	46.23	375.50	1.6484	1.1259	154.53	0.80	1.80	140.26	166.42	125.50	True	no
3816	Aragonite	13.486	4.1439	4	146.89	379.06	5.6797	1.8786	5.2714	0.82	2.10	14.21	67.88	1.80	True	no
3817	Aragonite	1.3851	1.328	1	179.47	375.32	1.7297	1.6965	39.089	0.90	1.66	137.51	35.08	108.30	True	no
3818	Aragonite	7.0713	3.0006	5	182.97	382.46	3.8825	1.6742	74.412	1.03	2.98	137.21	35.78	108.51	True	no
3819	Aragonite	8.8209	3.3513	7	196.94	378.60	3.812	1.2938	25.267	1.28	2.92	3.58	161.77	123.20	True	no
3820	Aragonite	0.729	0.96343	3	229.60	376.00	1.7106	3.1524	103.48	1.55	2.46	52.91	79.68	57.19	True	no
3821	Aragonite	8.3835	3.2671	9	259.88	386.80	5.0934	2.4304	92.143	1.42	3.11	81.12	92.12	40.05	True	no
3822	Aragonite	2.5515	1.8024	5	275.40	378.06	2.2268	1.5264	114.02	0.59	1.72	45.68	145.37	103.10	True	no
3823	Aragonite	0.8748	1.0554	3	435.08	374.83	1.3551	1.6485	80.583	0.92	1.47	38.46	16.13	109.67	True	no
3824	Aragonite	4.5198	2.3989	4	458.45	378.29	3.9392	2.6965	142.81	0.89	2.03	79.61	16.15	64.42	True	no
3825	Aragonite	1.0935	1.18	4	485.93	375.13	1.6519	1.9598	112.09	0.66	1.91	119.97	87.65	175.29	True	no
