Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
817	Aragonite	1.08	1.1726	3	197.50	126.67	1.3418	1.3093	52.762	0.45	0.67	74.71	143.23	159.72	True	no
818	Aragonite	23.04	5.4162	7	252.73	135.10	6.7583	1.557	77.241	1.46	3.77	4.42	47.98	169.74	True	no
819	Aragonite	3.33	2.0591	6	64.24	128.68	2.7776	1.8196	131.47	0.61	1.30	52.09	90.00	119.25	True	no
820	Aragonite	1.17	1.2205	5	208.23	127.38	1.2804	1.1005	30.964	0.52	1.49	142.13	113.41	158.89	True	no
821	Aragonite	3.78	2.1938	5	241.57	131.40	3.3545	2.3381	72.478	0.96	1.87	154.03	126.72	42.56	True	no
822	Aragonite	1.08	1.1726	4	283.67	128.17	1.5177	1.675	68.04	0.65	0.81	35.93	106.16	15.06	True	no
823	Aragonite	3.42	2.0867	4	9.71	129.95	2.3173	1.2332	125.53	0.92	2.47	58.04	121.15	53.12	True	no
824	Aragonite	1.08	1.1726	5	18.58	128.67	1.3745	1.3739	85.119	0.66	1.62	178.09	87.57	147.92	True	no
825	Aragonite	1.8	1.5139	3	55.45	129.20	1.6897	1.2458	19.625	0.72	1.05	42.29	70.62	108.90	True	no
826	Aragonite	6.75	2.9316	8	117.60	136.71	5.9168	4.0734	112.87	0.86	1.71	38.70	46.81	118.50	True	no
827	Aragonite	1.26	1.2666	3	316.86	129.00	2.0806	2.6984	42.055	0.81	1.61	170.79	83.00	124.55	True	no
828	Aragonite	2.16	1.6584	2	0.75	130.00	1.6062	1.8762	90	0.39	1.16	116.75	87.52	111.87	True	edge
829	Aragonite	3.69	2.1675	4	34.90	131.54	2.5072	1.3379	58.816	0.91	2.40	51.69	100.33	77.26	True	no
830	Aragonite	2.07	1.6235	3	43.48	130.65	2.139	1.736	68.682	0.97	1.87	127.56	128.30	126.96	True	no
831	Aragonite	5.13	2.5557	5	61.65	133.53	3.048	1.4224	108.33	0.90	2.01	171.77	65.20	76.19	True	no
832	Aragonite	2.25	1.6926	4	82.28	130.32	2.0165	1.4194	19.981	0.97	1.76	70.03	64.15	33.82	True	no
833	Aragonite	3.42	2.0867	6	85.61	132.24	2.6378	1.5979	32.973	0.74	1.91	170.13	150.68	83.84	True	no
834	Aragonite	25.83	5.7348	15	143.34	140.15	7.3572	1.6459	77.221	1.47	5.27	169.64	135.68	46.80	True	no
835	Aragonite	0.99	1.1227	4	155.64	130.27	1.8699	2.7739	49.731	0.51	0.77	74.72	91.34	90.61	True	no
836	Aragonite	4.95	2.5105	7	167.25	131.62	3.3084	1.7367	154.64	1.03	2.51	130.38	157.99	102.99	True	no
837	Aragonite	7.56	3.1025	10	193.79	132.61	3.4286	1.2213	84.849	0.99	3.07	18.89	66.80	28.23	True	no
838	Aragonite	0.99	1.1227	4	201.64	129.09	1.3364	1.4169	15.071	0.72	0.81	53.06	122.62	34.21	True	no
839	Aragonite	1.17	1.2205	4	210.77	130.08	1.421	1.3556	91.533	0.52	1.12	64.86	160.90	93.42	True	no
840	Aragonite	1.62	1.4362	4	216.56	130.11	1.8324	1.6279	77.122	0.77	1.40	136.22	104.05	2.82	True	no
841	Aragonite	14.94	4.3614	6	3.69	135.66	3.9388	1.6312	87.888	1.06	2.49	179.19	70.85	97.97	True	edge
842	Aragonite	1.8	1.5139	6	20.40	131.85	1.9044	1.5825	66.427	0.65	1.16	47.67	140.82	58.12	True	no
843	Aragonite	11.25	3.7847	9	50.35	134.79	4.9322	1.6983	11.007	1.96	3.39	110.56	68.19	79.38	True	no
844	Aragonite	2.7	1.8541	6	205.90	131.73	1.9985	1.1619	61.946	0.51	1.88	94.70	88.55	163.73	True	no
845	Aragonite	1.17	1.2205	2	245.85	131.31	1.7358	2.0226	81.097	1.03	1.43	152.67	16.99	25.71	True	no
846	Aragonite	16.56	4.5918	7	270.76	135.01	7.4754	2.6503	10.173	1.38	3.12	146.39	18.63	29.78	True	no
847	Aragonite	3.96	2.2454	3	306.09	131.80	2.5505	1.2902	34.774	0.94	1.97	127.54	113.45	118.57	True	no
848	Aragonite	2.43	1.759	6	336.33	131.67	2.0225	1.3221	158.65	0.88	1.81	171.73	99.68	109.00	True	no
849	Aragonite	2.34	1.7261	5	342.77	132.23	2.2479	1.696	130.33	1.74	2.83	51.62	104.12	74.75	True	no
850	Aragonite	1.26	1.2666	4	161.57	132.71	1.8331	2.0947	104.11	0.79	1.52	21.58	87.76	91.12	True	no
851	Aragonite	13.41	4.1321	8	328.21	139.24	5.7445	1.9327	81.103	1.97	4.40	106.70	113.64	91.97	True	no
852	Aragonite	1.98	1.5878	4	352.86	133.09	1.836	1.3372	83.392	1.37	2.91	65.25	137.74	91.24	True	no
853	Aragonite	2.34	1.7261	2	365.08	132.62	2.125	1.5156	135.98	0.74	1.54	42.95	116.10	41.26	True	no
854	Aragonite	4.41	2.3696	8	12.41	134.59	3.8612	2.6552	21.601	1.52	3.25	53.59	80.17	161.17	True	no
855	Aragonite	6.03	2.7709	5	91.87	135.84	3.5079	1.6027	51.041	0.58	2.20	68.24	47.73	162.33	True	no
856	Aragonite	1.62	1.4362	3	119.22	133.72	2.0339	2.0056	109.23	0.70	1.23	167.00	89.12	39.00	True	no
857	Aragonite	5.13	2.5557	7	156.39	138.44	4.4297	3.0041	75.994	1.21	2.93	121.31	119.48	113.80	True	no
858	Aragonite	1.26	1.2666	3	176.93	133.21	1.3343	1.1098	93.563	0.60	1.12	125.08	134.19	124.22	True	no
859	Aragonite	1.26	1.2666	5	201.64	133.00	1.7023	1.8062	106.98	0.30	0.54	39.57	85.85	33.35	True	no
860	Aragonite	1.08	1.1726	4	314.75	133.33	1.6528	1.9866	90	0.61	0.97	127.59	111.07	117.37	True	no
861	Aragonite	2.16	1.6584	6	39.58	135.13	1.8406	1.2318	76.591	0.70	1.36	0.98	52.43	45.87	True	no
862	Aragonite	10.08	3.5825	8	103.66	137.29	4.335	1.4642	34.108	2.29	3.54	71.34	40.99	61.01	True	no
863	Aragonite	0.9	1.0705	2	122.30	133.80	1.3354	1.5562	129.12	0.48	1.30	92.44	40.38	53.09	True	no
864	Aragonite	3.33	2.0591	5	211.11	136.35	3.0107	2.1379	35.918	0.60	1.49	55.92	121.08	34.11	True	no
865	Aragonite	1.08	1.1726	2	190.00	134.92	1.2996	1.2282	153.81	0.61	0.83	51.05	124.33	30.46	True	no
