Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1539	Aragonite	2.1504	1.6547	5	376.38	197.14	1.8409	1.2378	44.33	0.65	1.47	76.74	67.45	123.41	True	no
1540	Aragonite	2.56	1.8054	2	410.56	197.60	2.0972	1.3494	138.8	0.74	2.07	134.28	124.23	96.89	True	no
1541	Aragonite	1.024	1.1418	3	23.10	197.30	1.6365	2.0542	136.49	0.38	0.66	141.69	116.93	8.47	True	no
1542	Aragonite	1.536	1.3985	3	134.93	197.13	1.5555	1.2373	13.704	0.60	1.78	34.55	133.78	161.67	True	no
1543	Aragonite	2.4576	1.7689	3	261.46	199.33	2.3616	1.7824	74.187	0.80	1.24	53.33	51.38	136.24	True	no
1544	Aragonite	1.7408	1.4888	0	271.41	197.88	1.7477	1.3781	117.37	0.73	0.77	152.07	36.63	54.78	True	no
1545	Aragonite	1.2288	1.2508	4	332.00	198.50	1.4735	1.3876	36.65	0.16	0.19	64.86	53.93	84.23	True	no
1546	Aragonite	1.1264	1.1976	3	361.55	198.18	1.9261	2.5867	125.39	0.59	1.40	18.04	92.18	121.20	True	no
1547	Aragonite	2.2528	1.6936	5	430.32	197.23	2.592	2.3423	0.85236	0.76	1.36	65.31	112.05	88.28	True	no
1548	Aragonite	2.1504	1.6547	4	459.62	198.48	1.8855	1.2985	86.291	0.53	0.91	154.55	170.43	155.68	True	no
1549	Aragonite	1.4336	1.351	5	492.71	197.93	1.661	1.5115	53.973	0.45	0.82	157.31	91.01	165.26	True	no
1550	Aragonite	1.024	1.1418	2	499.50	197.00	1.4591	1.633	26.565	0.82	1.02	7.80	149.50	31.59	True	no
1551	Aragonite	2.56	1.8054	3	513.76	198.44	2.0989	1.3516	102.85	0.59	1.43	18.80	139.80	79.32	True	no
1552	Aragonite	4.9152	2.5016	7	35.75	203.00	5.1665	4.2653	110.46	0.81	2.86	145.26	159.35	31.57	True	no
1553	Aragonite	1.6384	1.4443	2	57.44	199.13	1.7745	1.5094	90.402	1.09	2.08	138.41	146.75	27.34	True	no
1554	Aragonite	1.536	1.3985	5	87.73	199.80	1.8615	1.7718	65.654	0.51	1.02	175.79	147.34	62.87	True	no
1555	Aragonite	3.072	1.9777	4	112.17	201.27	3.5962	3.3064	102.4	1.78	2.96	176.14	138.99	80.16	True	no
1556	Aragonite	4.9152	2.5016	5	116.79	202.02	2.8883	1.333	127.99	1.09	3.08	80.01	57.66	50.54	True	no
1557	Aragonite	5.3248	2.6038	7	150.23	201.69	3.1093	1.426	72.405	1.01	2.21	45.31	69.09	163.39	True	no
1558	Aragonite	1.2288	1.2508	4	156.83	198.25	2.0944	2.8036	16.321	0.66	0.84	29.19	132.50	163.99	True	no
