Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1820	Aragonite	2.6624	1.8412	3	457.54	217.35	2.0877	1.2858	67.303	0.56	1.03	50.84	73.69	2.06	True	no
1821	Aragonite	1.9456	1.5739	4	463.84	218.47	2.127	1.8262	80.123	0.70	1.51	167.97	153.14	96.87	True	no
1822	Aragonite	1.536	1.3985	3	468.27	216.60	2.0677	2.1861	32.579	0.97	2.10	51.93	116.45	172.34	True	no
1823	Aragonite	3.4816	2.1054	6	490.03	219.44	2.6622	1.5988	104.88	1.16	2.63	32.30	56.49	116.55	True	no
1824	Aragonite	2.9696	1.9445	3	514.10	217.48	2.0806	1.1449	169.97	0.66	1.37	80.41	26.58	177.16	True	no
1825	Aragonite	1.2288	1.2508	1	523.50	217.50	2.3117	3.4157	90	0.93	1.22	79.92	88.20	44.70	True	no
1826	Aragonite	2.7648	1.8762	1	3.85	220.30	3.0339	2.6148	106.64	0.69	1.17	149.34	60.78	175.35	True	no
1827	Aragonite	1.7408	1.4888	2	11.82	218.53	1.9511	1.7175	147.96	0.70	1.40	150.22	60.71	175.84	True	no
1828	Aragonite	1.7408	1.4888	4	59.76	218.71	1.7483	1.379	127.89	0.99	1.60	54.34	69.78	154.94	True	no
1829	Aragonite	3.584	2.1362	5	196.14	218.91	2.3167	1.1761	92.37	0.98	1.71	1.96	96.85	11.26	True	no
1830	Aragonite	2.4576	1.7689	2	223.50	218.63	2.0707	1.3703	140.51	0.77	1.61	36.85	149.21	26.54	True	no
1831	Aragonite	6.3488	2.8432	5	294.37	222.08	5.2274	3.3804	139.03	1.74	3.90	153.45	110.26	28.63	True	no
1832	Aragonite	3.584	2.1362	5	334.17	218.51	3.2622	2.3321	147.39	0.91	1.99	142.89	96.73	28.18	True	no
1833	Aragonite	1.8432	1.5319	3	374.44	218.11	1.868	1.4868	140.93	0.55	1.01	111.76	55.50	59.64	True	no
1834	Aragonite	6.3488	2.8432	8	421.40	222.26	4.1912	2.1731	73.821	0.74	2.03	133.86	72.93	85.59	True	no
1835	Aragonite	1.024	1.1418	3	508.80	217.00	1.2842	1.2649	90	0.52	1.12	65.75	80.65	55.50	True	no
1836	Aragonite	1.1264	1.1976	3	38.18	218.82	1.2204	1.0385	135	0.59	1.20	138.88	125.07	176.87	True	no
1837	Aragonite	1.8432	1.5319	3	108.94	219.11	1.8294	1.4261	150.75	0.78	1.49	96.66	115.55	44.62	True	no
1838	Aragonite	6.2464	2.8201	6	115.07	221.79	3.0958	1.2051	97.153	1.48	3.69	136.86	105.30	21.97	True	no
1839	Aragonite	1.024	1.1418	4	140.50	219.00	1.9203	2.8284	90	1.02	1.63	44.13	46.06	174.88	True	no
1840	Aragonite	1.6384	1.4443	5	210.31	220.25	2.6006	3.242	118.95	0.67	1.24	10.50	75.85	21.92	True	no
1841	Aragonite	2.4576	1.7689	5	450.96	219.54	2.2099	1.5607	80.434	0.96	1.63	162.95	147.45	118.27	True	no
1842	Aragonite	1.3312	1.3019	2	494.62	218.92	1.6925	1.6901	131.94	0.74	1.45	31.94	57.19	118.20	True	no
1843	Aragonite	11.366	3.8042	9	510.29	222.05	5.2969	1.9387	164.01	2.52	4.56	76.58	83.50	43.29	True	no
1844	Aragonite	1.024	1.1418	2	529.60	218.20	1.4749	1.6684	49.065	0.41	1.36	16.49	49.21	72.34	True	no
1845	Aragonite	2.9696	1.9445	4	25.79	220.52	2.6913	1.9157	144.24	0.93	1.87	123.34	165.53	166.47	True	no
1846	Aragonite	3.2768	2.0426	4	64.28	221.09	2.5686	1.5814	55.16	0.58	1.20	126.01	138.69	6.36	True	no
1847	Aragonite	1.1264	1.1976	4	77.91	219.18	1.6421	1.8802	13.283	0.77	1.15	141.22	28.75	141.60	True	no
1848	Aragonite	2.56	1.8054	5	83.24	220.44	2.3238	1.6567	124.04	0.73	1.16	5.22	30.23	90.74	True	no
1849	Aragonite	1.536	1.3985	4	121.67	220.47	1.6416	1.378	69.047	0.98	1.78	53.31	104.69	41.84	True	no
1850	Aragonite	6.3488	2.8432	6	137.47	225.84	5.2639	3.4278	86.951	1.54	3.48	89.21	123.32	13.45	True	no
1851	Aragonite	1.1264	1.1976	4	177.55	220.27	1.9628	2.6863	119.69	0.70	1.58	148.48	132.60	10.90	True	no
1852	Aragonite	1.536	1.3985	3	190.80	219.80	1.5355	1.2055	135	0.53	1.16	56.55	165.58	90.44	True	no
1853	Aragonite	6.8608	2.9556	6	287.30	221.91	5.19	3.0835	150.19	1.78	2.83	37.10	129.02	130.86	True	no
1854	Aragonite	4.1984	2.312	7	319.32	224.46	4.5431	3.8611	111.06	1.43	2.47	63.89	24.11	39.23	True	no
1855	Aragonite	1.536	1.3985	4	354.20	220.73	2.2781	2.6536	101.02	0.79	1.71	32.84	62.08	66.82	True	no
1856	Aragonite	2.048	1.6148	5	378.10	221.55	2.0168	1.5598	91.654	0.82	2.14	89.25	94.59	178.29	True	no
1857	Aragonite	2.2528	1.6936	3	390.09	220.68	2.2055	1.6959	116.57	0.65	1.32	37.31	7.59	78.17	True	no
1858	Aragonite	2.1504	1.6547	3	401.62	221.24	2.1728	1.7243	78.69	0.78	1.67	113.88	147.81	71.51	True	no
1859	Aragonite	1.7408	1.4888	2	404.76	220.35	2.0682	1.9298	97.523	0.76	0.81	65.49	144.80	54.19	True	no
1860	Aragonite	1.6384	1.4443	4	454.19	220.69	1.8703	1.6769	97.815	0.30	0.46	44.05	10.69	8.19	True	no
1861	Aragonite	5.2224	2.5786	6	95.39	222.45	3.8045	2.1768	22.333	1.25	1.90	101.24	125.24	49.37	True	no
1862	Aragonite	1.6384	1.4443	2	184.81	221.38	1.917	1.7615	140.47	0.78	1.29	176.89	146.64	168.35	True	no
1863	Aragonite	6.3488	2.8432	7	332.92	226.95	5.4369	3.6568	113.61	1.22	2.69	115.98	50.03	32.80	True	no
1864	Aragonite	3.072	1.9777	6	393.90	223.97	3.3228	2.8228	99.912	0.69	2.05	120.02	118.69	9.12	True	no
1865	Aragonite	1.3312	1.3019	3	396.38	221.15	1.7449	1.7963	53.271	0.92	0.99	8.01	73.28	86.93	True	no
1866	Aragonite	1.1264	1.1976	3	428.18	220.55	1.643	1.8821	98.13	0.60	1.56	111.86	143.22	60.68	True	no
1867	Aragonite	1.6384	1.4443	3	431.06	221.31	2.2202	2.3629	92.382	0.58	0.99	72.58	174.42	154.87	True	no
1868	Aragonite	3.1744	2.0104	5	465.87	222.10	2.6939	1.7956	20.601	0.57	1.30	148.12	134.76	115.08	True	no
1869	Aragonite	6.3488	2.8432	5	481.58	224.11	3.4331	1.4581	100.39	1.59	3.26	160.85	31.63	104.72	True	no
1870	Aragonite	1.024	1.1418	3	531.30	220.30	1.2868	1.27	45	0.41	0.94	154.17	73.92	26.70	True	no
1871	Aragonite	2.048	1.6148	3	24.40	223.65	2.9462	3.3288	122.66	0.76	1.41	136.70	103.85	176.43	True	no
1872	Aragonite	1.1264	1.1976	3	40.00	221.36	1.7345	2.0976	180	0.80	1.53	142.25	61.24	176.51	True	no
1873	Aragonite	10.445	3.6467	12	82.83	227.56	5.941	2.6541	149.22	1.76	4.90	109.36	112.23	31.29	True	no
1874	Aragonite	1.3312	1.3019	2	161.62	221.69	1.6209	1.5501	23.767	0.31	0.49	37.76	166.93	6.66	True	no
1875	Aragonite	1.1264	1.1976	4	174.36	221.64	1.3982	1.3631	115.41	0.87	1.61	174.63	145.79	165.03	True	no
1876	Aragonite	1.3312	1.3019	2	199.38	221.62	1.4105	1.1737	45	0.79	1.81	0.24	92.40	5.29	True	no
1877	Aragonite	1.7408	1.4888	5	208.65	222.35	2.6517	3.1725	129.71	0.67	1.29	119.12	160.67	150.08	True	no
1878	Aragonite	1.9456	1.5739	3	321.89	223.74	2.6885	2.9177	109.28	0.62	1.63	98.17	83.10	15.61	True	no
1879	Aragonite	1.6384	1.4443	2	326.94	221.75	1.5284	1.1198	57.312	0.41	0.72	110.92	94.52	70.61	True	no
1880	Aragonite	4.096	2.2837	5	351.60	224.35	3.118	1.8642	141	1.32	2.49	88.66	97.66	52.96	True	no
1881	Aragonite	2.56	1.8054	6	357.64	222.96	2.5822	2.0457	105.15	0.97	2.13	97.95	33.55	75.51	True	no
1882	Aragonite	1.6384	1.4443	4	425.13	222.56	1.9818	1.8827	57.452	0.79	1.28	68.36	78.85	103.21	True	no
1883	Aragonite	2.1504	1.6547	4	435.81	221.90	2.2799	1.8984	146.62	0.61	1.20	30.59	51.36	41.41	True	no
1884	Aragonite	2.9696	1.9445	6	458.69	222.83	2.139	1.2101	63.525	0.79	1.62	22.53	54.57	142.22	True	no
1885	Aragonite	5.4272	2.6287	6	502.42	224.38	3.3587	1.6325	131.51	0.80	1.70	140.90	106.32	16.90	True	no
1886	Aragonite	2.8672	1.9107	4	22.86	226.89	3.2616	2.914	111.51	0.64	1.17	140.90	50.60	174.68	True	no
1887	Aragonite	4.8128	2.4754	3	36.30	224.62	4.4867	3.2851	154.23	0.71	1.55	142.75	115.41	176.66	True	no
1888	Aragonite	2.56	1.8054	4	124.64	223.96	2.1578	1.4285	89.446	0.64	1.29	169.38	62.39	126.02	True	no
1889	Aragonite	1.536	1.3985	4	154.60	224.20	2.345	2.8117	55.776	0.74	1.87	62.15	139.66	16.63	True	no
1890	Aragonite	21.914	5.2822	12	158.29	230.28	10.676	4.0847	26.295	2.70	4.98	39.90	165.93	10.07	True	no
1891	Aragonite	1.6384	1.4443	3	193.38	222.88	1.4885	1.0622	161.57	0.93	1.39	141.31	116.75	165.19	True	no
1892	Aragonite	1.2288	1.2508	3	205.33	223.08	1.4757	1.392	24.611	0.71	1.00	179.66	88.62	174.00	True	no
1893	Aragonite	2.6624	1.8412	1	218.54	223.54	2.1864	1.4102	143.17	0.74	1.81	170.71	142.59	150.98	True	no
1894	Aragonite	3.7888	2.1964	5	282.27	224.86	3.3832	2.3727	127.38	0.81	2.30	175.18	9.46	162.49	True	no
1895	Aragonite	1.2288	1.2508	4	314.17	222.67	1.6188	1.675	21.96	0.30	0.59	2.53	118.43	130.11	True	no
1896	Aragonite	1.024	1.1418	3	495.10	222.10	1.6119	1.9927	29.767	0.88	1.12	18.79	18.14	115.29	True	no
1897	Aragonite	1.024	1.1418	3	519.80	222.50	1.3362	1.3693	90	0.53	1.16	79.55	25.74	178.34	True	no
1898	Aragonite	5.0176	2.5276	6	59.59	227.02	4.3825	3.0063	132.14	0.93	1.56	115.40	23.07	5.90	True	no
1899	Aragonite	1.024	1.1418	3	89.00	223.20	1.2842	1.2649	90	0.58	1.21	112.08	110.80	32.09	True	no
1900	Aragonite	1.536	1.3985	2	106.13	224.20	1.6503	1.3927	129.29	0.70	1.89	64.31	85.80	43.75	True	no
1901	Aragonite	4.7104	2.449	5	141.59	228.33	4.5622	3.4704	92.927	0.81	2.07	75.19	60.32	14.96	True	no
1902	Aragonite	18.432	4.8444	10	306.06	230.09	6.1427	1.6078	171.58	2.05	3.79	47.78	24.89	92.03	True	no
1903	Aragonite	6.0416	2.7735	5	337.98	226.49	3.4898	1.5832	124.21	1.16	2.40	10.24	30.69	124.00	True	no
1904	Aragonite	7.9872	3.189	6	347.96	229.44	4.791	2.2571	133.17	1.19	2.68	116.43	49.91	33.86	True	no
1905	Aragonite	2.6624	1.8412	3	363.77	225.42	2.826	2.3559	146.03	1.09	1.92	10.99	59.64	143.46	True	no
1906	Aragonite	2.4576	1.7689	2	374.33	225.13	2.2796	1.6607	68.689	1.04	2.19	98.48	71.92	54.80	True	no
1907	Aragonite	6.5536	2.8887	7	489.84	227.92	3.0827	1.1388	141.44	1.10	2.25	151.18	62.98	104.41	True	no
1908	Aragonite	2.1504	1.6547	4	522.43	224.95	2.4426	2.1791	69.11	0.68	1.88	141.73	120.24	52.85	True	no
1909	Aragonite	1.4336	1.351	4	530.00	224.43	1.6628	1.5148	77.962	0.75	0.75	125.46	124.66	37.39	True	no
1910	Aragonite	2.3552	1.7317	4	85.83	225.65	2.0011	1.3354	79.917	0.63	1.31	73.41	57.18	38.93	True	no
1911	Aragonite	12.083	3.9223	7	100.98	229.27	4.726	1.4518	119.19	1.93	4.75	58.73	75.79	40.48	True	no
1912	Aragonite	1.6384	1.4443	6	121.31	225.56	2.2349	2.3943	114.21	1.15	2.42	13.48	22.50	116.99	True	no
1913	Aragonite	20.378	5.0937	11	124.45	238.69	9.108	3.1973	80.337	2.62	6.52	69.16	60.23	12.41	True	no
1914	Aragonite	6.4512	2.866	4	132.73	230.94	5.1958	3.2866	85.1	0.87	3.05	74.01	60.01	8.03	True	no
1915	Aragonite	2.3552	1.7317	4	159.00	224.70	2.4158	1.9463	171.26	0.88	1.33	29.90	103.13	3.27	True	no
1916	Aragonite	8.3968	3.2697	9	176.78	227.50	5.9065	3.2632	29.331	1.05	2.96	30.60	94.88	174.41	True	no
1917	Aragonite	2.048	1.6148	4	203.35	225.45	2.4625	2.3256	161.71	0.60	1.23	14.91	96.05	19.42	True	no
1918	Aragonite	1.2288	1.2508	4	255.33	224.17	1.8997	2.3066	174.27	0.47	0.78	13.60	94.42	13.24	True	no
1919	Aragonite	1.6384	1.4443	3	315.63	225.19	1.761	1.4866	5.4943	0.70	2.01	102.47	43.53	103.89	True	no
1920	Aragonite	1.4336	1.351	4	397.86	225.36	1.7146	1.6107	125.19	0.39	0.82	15.18	50.46	40.70	True	no
1921	Aragonite	5.5296	2.6534	8	451.33	226.54	3.549	1.789	21.318	0.90	2.48	108.04	135.92	55.22	True	no
1922	Aragonite	5.2224	2.5786	6	525.98	228.08	3.7183	2.0792	88.426	1.20	2.78	47.02	39.30	43.70	True	no
1923	Aragonite	1.1264	1.1976	2	535.00	224.18	1.3935	1.354	90	0.14	0.77	107.34	45.14	79.39	True	no
1924	Aragonite	4.3008	2.3401	4	52.55	230.17	4.2029	3.2258	100.23	1.18	2.55	121.61	121.33	8.71	True	no
1925	Aragonite	3.8912	2.2259	5	187.34	227.95	3.6889	2.7467	32.483	0.55	0.99	34.48	41.15	171.67	True	no
1926	Aragonite	1.1264	1.1976	5	209.36	225.82	2.1134	3.1143	151.22	0.42	1.09	156.41	47.78	166.89	True	no
1927	Aragonite	3.584	2.1362	6	214.71	228.51	3.419	2.5616	116.62	0.55	1.16	39.79	133.07	29.78	True	no
1928	Aragonite	3.9936	2.255	7	233.95	227.03	3.8713	2.9474	12.64	0.67	1.59	12.02	94.57	16.24	True	no
1929	Aragonite	8.192	3.2296	6	253.26	228.57	5.0668	2.4613	149.79	0.87	1.78	149.37	61.46	4.42	True	no
1930	Aragonite	10.035	3.5745	5	267.60	229.36	6.2999	3.1062	144.09	1.12	2.39	132.36	11.59	21.61	True	no
1931	Aragonite	1.2288	1.2508	4	272.92	225.67	1.3925	1.2393	55.278	0.45	0.73	163.20	124.53	7.31	True	no
1932	Aragonite	1.6384	1.4443	3	277.06	226.56	2.01	1.9366	149.42	0.76	1.63	134.90	8.75	22.76	True	no
1933	Aragonite	2.1504	1.6547	4	287.33	226.52	2.4321	2.1603	136.62	0.90	1.73	81.19	79.73	143.11	True	no
1934	Aragonite	1.1264	1.1976	3	324.91	226.36	1.6572	1.9149	108.43	0.38	0.84	46.24	19.92	126.76	True	no
1935	Aragonite	1.6384	1.4443	3	413.63	226.44	1.6149	1.2502	66.255	0.56	1.47	68.27	83.78	100.83	True	no
1936	Aragonite	1.9456	1.5739	4	427.16	226.84	1.7266	1.2035	52.441	0.83	1.90	111.15	144.66	57.61	True	no
1937	Aragonite	2.1504	1.6547	3	434.52	226.43	2.0424	1.5236	50.32	0.74	1.56	17.75	41.61	42.41	True	no
1938	Aragonite	3.2768	2.0426	6	437.56	228.19	3.1347	2.3552	50.597	1.21	2.14	103.54	140.00	54.38	True	no
1939	Aragonite	1.2288	1.2508	4	476.08	225.42	1.8551	2.1997	42.258	0.56	0.77	110.28	55.44	86.62	True	no
1940	Aragonite	1.9456	1.5739	6	496.11	225.47	2.1356	1.8411	151.63	0.62	1.11	110.74	20.81	146.54	True	no
1941	Aragonite	4.8128	2.4754	2	8.60	230.68	3.8847	2.4627	116.06	0.96	1.72	137.97	125.02	175.26	True	no
1942	Aragonite	1.536	1.3985	3	43.33	227.20	1.8675	1.7833	90	0.64	1.25	79.25	175.70	115.35	True	no
1943	Aragonite	3.8912	2.2259	4	67.74	228.71	3.9646	3.1725	139.99	0.75	1.73	130.15	75.77	1.27	True	no
1944	Aragonite	1.9456	1.5739	4	71.42	226.89	1.7956	1.3016	146.78	0.80	1.82	114.14	113.95	10.21	True	no
1945	Aragonite	1.3312	1.3019	4	88.46	227.69	2.243	2.9682	56.368	1.01	2.32	3.95	28.34	93.48	True	no
1946	Aragonite	9.1136	3.4064	7	113.89	230.33	3.8968	1.3086	19.756	1.33	2.93	19.28	24.32	110.07	True	no
1947	Aragonite	1.6384	1.4443	3	226.00	226.13	2.3772	2.709	4.8706	0.95	1.68	37.61	148.99	26.97	True	no
1948	Aragonite	1.536	1.3985	3	241.40	226.27	1.6704	1.4268	160.24	0.81	1.27	152.45	126.23	4.78	True	no
1949	Aragonite	2.1504	1.6547	4	328.95	228.14	2.1345	1.664	106.02	0.54	1.09	57.60	82.01	115.38	True	no
1950	Aragonite	1.6384	1.4443	2	417.69	226.88	1.5021	1.0817	150.77	1.00	1.28	144.26	121.35	131.28	True	no
1951	Aragonite	3.2768	2.0426	4	442.72	228.78	2.5873	1.6045	95.476	0.94	1.70	58.12	89.36	32.37	True	no
1952	Aragonite	2.56	1.8054	2	465.56	228.20	2.0745	1.3203	90.384	0.89	1.96	19.01	34.87	119.37	True	no
1953	Aragonite	1.024	1.1418	4	469.30	226.00	1.3744	1.4489	170.92	0.35	0.59	13.53	12.87	8.06	True	no
1954	Aragonite	4.096	2.2837	6	519.65	229.63	3.1412	1.892	104.97	0.96	2.61	94.70	75.44	45.13	True	no
1955	Aragonite	6.4512	2.866	5	15.19	231.84	4.1455	2.0922	126.06	0.95	2.66	144.79	61.43	175.00	True	no
1956	Aragonite	3.584	2.1362	5	29.11	229.29	2.4798	1.3476	165	1.25	2.07	134.70	125.70	175.44	True	no
1957	Aragonite	1.536	1.3985	3	55.53	228.73	2.0894	2.2323	94.781	0.90	2.70	119.40	68.87	5.39	True	no
1958	Aragonite	1.8432	1.5319	3	150.44	228.11	1.6397	1.1457	120.91	0.63	1.00	22.10	150.84	133.63	True	no
1959	Aragonite	5.7344	2.7021	5	243.43	230.64	3.3628	1.5488	169.92	0.78	2.22	121.85	10.13	27.19	True	no
1960	Aragonite	7.2704	3.0425	6	266.85	233.68	8.1294	7.1391	146.6	1.28	2.65	155.51	127.03	4.81	True	no
1961	Aragonite	1.6384	1.4443	4	357.19	228.31	1.805	1.5618	113.69	0.58	1.24	84.86	91.31	38.24	True	no
1962	Aragonite	1.2288	1.2508	2	380.92	227.50	1.6572	1.7554	173.92	0.53	1.43	7.62	112.23	137.55	True	no
1963	Aragonite	1.2288	1.2508	5	423.92	227.92	1.9554	2.444	58.203	0.36	0.83	31.32	50.37	39.08	True	no
1964	Aragonite	2.3552	1.7317	4	477.78	228.74	1.9262	1.2372	121.95	0.64	1.19	41.60	73.06	119.72	True	no
1965	Aragonite	2.56	1.8054	3	536.00	228.68	2.5296	1.9632	115.36	1.06	2.53	168.79	129.01	48.00	True	no
1966	Aragonite	18.33	4.8309	10	209.47	238.44	6.4031	1.7568	93.085	1.62	5.33	112.17	147.05	54.89	True	no
1967	Aragonite	2.3552	1.7317	5	292.74	229.48	2.2214	1.6455	124.64	0.69	1.84	148.71	113.22	26.06	True	no
1968	Aragonite	1.536	1.3985	5	400.67	229.13	1.8457	1.7418	107.96	0.40	1.54	99.10	153.76	36.53	True	no
1969	Aragonite	2.1504	1.6547	5	430.81	229.57	2.0478	1.5316	145.19	0.43	0.74	129.85	114.99	149.13	True	no
1970	Aragonite	6.0416	2.7735	5	460.83	231.66	3.9481	2.0264	111.18	0.73	1.77	155.32	146.51	118.83	True	no
1971	Aragonite	11.571	3.8383	7	473.31	236.61	6.5904	2.948	96.198	1.07	2.30	67.41	134.37	5.06	True	no
1972	Aragonite	1.9456	1.5739	4	509.53	228.89	1.7563	1.2452	17.899	0.70	1.64	125.53	92.67	86.79	True	no
1973	Aragonite	1.8432	1.5319	3	36.06	229.83	1.8963	1.5322	140.18	1.68	2.39	144.06	60.68	176.68	True	no
1974	Aragonite	1.024	1.1418	2	76.00	229.50	1.4591	1.633	116.57	0.47	0.99	75.01	56.96	35.71	True	no
1975	Aragonite	1.4336	1.351	2	80.86	229.86	1.3938	1.0643	7.9727	0.87	2.20	75.11	56.76	35.60	True	no
1976	Aragonite	6.144	2.7969	6	192.77	231.97	3.4154	1.4912	8.8402	1.00	2.58	56.38	90.24	32.40	True	no
1977	Aragonite	1.024	1.1418	2	223.60	228.60	1.7456	2.337	13.608	0.85	1.62	168.89	140.72	153.36	True	no
1978	Aragonite	7.8848	3.1685	7	277.74	234.25	4.8385	2.332	115.89	1.89	3.24	95.94	105.32	67.69	True	no
1979	Aragonite	2.7648	1.8762	2	346.70	231.96	2.5375	1.8291	116.63	0.83	1.61	11.10	30.39	123.18	True	no
1980	Aragonite	1.7408	1.4888	4	396.94	230.35	2.1426	2.0712	85.692	0.62	1.66	161.14	81.08	66.65	True	no
1981	Aragonite	1.1264	1.1976	3	404.09	229.64	1.4255	1.4169	74.929	0.64	1.14	67.71	93.80	16.66	True	no
1982	Aragonite	4.1984	2.312	5	454.95	232.00	2.5592	1.2253	96.557	0.83	2.14	44.20	104.17	84.60	True	no
1983	Aragonite	2.9696	1.9445	2	491.00	234.14	4.0441	4.3255	97.135	1.09	1.96	58.37	19.71	11.74	True	no
1984	Aragonite	1.9456	1.5739	4	496.32	230.58	2.4437	2.4107	81.261	0.46	0.95	157.14	42.33	48.67	True	no
1985	Aragonite	4.1984	2.312	6	500.66	231.51	2.7466	1.4113	99.217	0.90	2.68	117.30	89.04	91.34	True	no
1986	Aragonite	3.1744	2.0104	5	514.03	231.29	2.5862	1.6549	88.39	0.64	1.47	9.33	85.47	89.67	True	no
1987	Aragonite	2.56	1.8054	3	531.08	230.48	2.1943	1.4772	9.2505	0.71	1.28	129.71	148.01	49.96	True	no
1988	Aragonite	8.6016	3.3094	7	95.73	236.10	5.2702	2.5361	92.36	0.91	3.01	128.55	86.06	44.14	True	no
1989	Aragonite	1.1264	1.1976	4	119.64	230.09	1.4255	1.4169	15.071	0.31	0.75	116.83	57.25	27.36	True	no
1990	Aragonite	1.3312	1.3019	3	145.92	230.85	1.6556	1.6172	50.477	0.51	1.14	24.93	152.64	136.63	True	no
1991	Aragonite	1.2288	1.2508	3	165.92	230.67	1.3925	1.2393	55.278	0.36	0.81	42.13	31.63	168.74	True	no
1992	Aragonite	4.096	2.2837	5	177.95	231.70	3.6188	2.511	24.463	1.83	4.68	10.86	156.80	160.17	True	no
1993	Aragonite	2.1504	1.6547	5	225.24	230.76	3.0519	3.4019	8.0813	0.71	1.21	39.28	147.39	32.56	True	no
1994	Aragonite	1.024	1.1418	3	232.90	230.40	1.3344	1.3657	42.254	0.63	0.95	111.48	9.83	33.36	True	no
1995	Aragonite	37.478	6.9079	16	299.26	245.00	14.422	4.3586	141.35	1.49	4.51	162.71	7.92	172.34	True	no
1996	Aragonite	1.3312	1.3019	5	324.62	230.38	1.4105	1.1737	45	0.60	1.10	49.78	92.96	117.42	True	no
1997	Aragonite	1.024	1.1418	5	360.90	230.90	1.4699	1.6572	82.312	0.49	0.83	121.19	68.64	105.68	True	no
1998	Aragonite	1.3312	1.3019	3	363.69	231.38	1.7772	1.8634	60.673	0.48	1.18	91.23	49.85	15.41	True	no
1999	Aragonite	1.024	1.1418	3	366.10	231.10	1.5664	1.8819	84.806	0.62	1.28	138.12	161.51	38.19	True	no
2000	Aragonite	6.656	2.9111	5	379.31	235.38	3.5656	1.5002	133.75	1.05	3.41	176.82	147.31	78.12	True	no
2001	Aragonite	3.8912	2.2259	5	392.74	233.16	3.4132	2.3514	70.15	0.86	1.79	119.18	101.70	124.87	True	no
2002	Aragonite	2.4576	1.7689	4	413.92	231.79	2.4198	1.8712	66.647	0.83	1.38	43.98	47.62	40.12	True	no
2003	Aragonite	4.4032	2.3678	6	505.74	233.60	3.2559	1.8909	88.792	0.58	1.49	1.26	93.03	92.96	True	no
2004	Aragonite	2.7648	1.8762	5	41.48	232.59	2.1644	1.3308	140.4	0.69	1.83	146.38	61.80	174.63	True	no
2005	Aragonite	2.3552	1.7317	3	58.26	233.70	2.6901	2.4133	104.02	1.23	2.89	114.03	24.00	7.85	True	no
2006	Aragonite	3.2768	2.0426	3	61.97	235.09	3.7586	3.386	117.47	0.69	2.31	126.09	139.64	6.72	True	no
2007	Aragonite	12.595	4.0046	8	73.69	240.19	7.2595	3.2862	126.2	2.58	7.90	64.87	39.14	63.42	True	no
2008	Aragonite	3.9936	2.255	4	202.44	234.85	3.2281	2.0494	69.126	0.74	2.40	37.15	50.19	35.73	True	no
2009	Aragonite	10.957	3.7351	10	245.35	235.21	5.1798	1.9233	177.74	1.39	2.98	107.12	11.36	38.43	True	no
2010	Aragonite	9.8304	3.5379	3	306.35	238.23	4.571	1.6693	109.07	1.11	3.71	149.14	113.46	25.89	True	no
2011	Aragonite	3.9936	2.255	6	410.62	236.31	3.0748	1.8594	107.67	0.83	2.11	137.38	150.47	67.78	True	no
2012	Aragonite	2.3552	1.7317	5	418.96	233.13	2.2482	1.6855	110.16	0.78	1.22	159.37	95.84	120.98	True	no
2013	Aragonite	1.3312	1.3019	5	422.00	232.00	1.7579	1.8232	104.87	0.68	1.12	96.93	120.09	98.56	True	no
2014	Aragonite	2.1504	1.6547	5	425.71	232.43	2.0819	1.583	94.448	0.41	0.67	167.60	88.41	80.32	True	no
2015	Aragonite	3.6864	2.1665	5	449.86	233.36	2.6055	1.4463	105.36	0.61	1.18	169.24	52.51	83.29	True	no
2016	Aragonite	6.8608	2.9556	6	540.06	235.49	3.6818	1.5518	125.72	1.56	3.63	123.02	114.34	169.11	True	no
2017	Aragonite	1.3312	1.3019	2	544.23	231.38	1.3658	1.1005	30.964	0.42	1.20	26.61	173.81	59.75	True	no
2018	Aragonite	1.024	1.1418	2	21.30	232.30	1.2868	1.27	45	0.48	1.21	127.82	63.66	35.59	True	no
2019	Aragonite	2.2528	1.6936	5	35.64	233.45	2.2458	1.7584	157.66	1.59	2.14	133.10	41.78	29.55	True	no
2020	Aragonite	2.7648	1.8762	5	80.26	235.04	3.1768	2.8668	52.826	0.99	2.29	104.72	115.03	28.76	True	no
2021	Aragonite	2.1504	1.6547	3	129.33	237.05	3.3131	4.0091	92.838	1.31	2.13	142.10	169.63	66.79	True	no
2022	Aragonite	1.536	1.3985	3	199.33	233.47	2.1762	2.4215	69.371	0.68	1.33	114.48	147.04	57.75	True	no
2023	Aragonite	2.4576	1.7689	4	233.79	233.83	2.7798	2.4695	152.09	0.69	1.41	148.50	125.04	7.74	True	no
2024	Aragonite	9.6256	3.5008	7	321.18	236.29	4.864	1.9304	128.33	0.98	2.86	51.03	125.95	106.25	True	no
2025	Aragonite	1.7408	1.4888	4	356.65	232.76	1.7215	1.337	55.991	0.65	1.20	10.64	70.54	3.73	True	no
2026	Aragonite	1.6384	1.4443	2	371.75	233.19	1.7965	1.5472	154.88	1.03	2.25	1.99	61.81	73.97	True	no
2027	Aragonite	1.536	1.3985	3	407.40	232.93	1.6062	1.3191	80.538	0.85	2.06	84.46	122.46	70.05	True	no
2028	Aragonite	3.2768	2.0426	3	28.25	234.53	2.4681	1.46	27.908	1.26	2.55	39.31	28.74	103.92	True	no
