Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
51,Aragonite,2.916,1.9269,4,352.1,7.57,2.4843,1.6623,49.026,0.6,1.47,32.53,40.72,43.93,True,no,1.07021281414641,0.909990929725627,1.17377128366139,0.160221884420785
52,Aragonite,1.8954,1.5535,2,363.65,7.69,2.1794,1.9681,80.673,1.22,2.67,56.95,63.45,22.79,True,no,0.639429898053957,0.779049609560649,0.869688905203267,-0.139619711506691
53,Aragonite,1.2393,1.2562,2,387.53,7.53,1.8407,2.1473,117.66,0.78,1.49,162.57,150.5,41.65,True,no,0.214546704088692,0.610145934056539,0.673276470907807,-0.395599229967848
54,Aragonite,1.3851,1.328,5,407.79,5.95,1.6861,1.612,46.801,0.72,0.93,128.9,160.15,76.81,True,no,0.325772339198916,0.522418169801798,0.821481525413677,-0.196645830602882
55,Aragonite,3.8637,2.218,3,358.96,9.85,2.5966,1.3706,114.35,1.12,2.6,116.9,146.37,67.07,True,no,1.3516252735846,0.954202896944016,1.48798428714473,0.397422376640581
56,Aragonite,0.729,0.96343,1,369.3,7.6,1.3909,2.0843,68.507,0.7,1.24,75.76,115.57,20.67,True,no,-0.316081546973479,0.329951019630947,0.52412107268675,-0.646032566604426
57,Aragonite,1.7496,1.4925,4,376.92,8.17,1.8741,1.5767,76.96,0.66,2.15,58.94,66.95,17.15,True,no,0.559387190380421,0.628128544185497,0.933568112694093,-0.0687413538050759
58,Aragonite,2.3328,1.7234,4,401.94,8.25,2.6791,2.4165,36.953,0.51,1.48,9.22,115.03,147.21,True,no,0.847069262832202,0.985480917226779,0.870740173939009,-0.138411654394577
59,Aragonite,1.3122,1.2926,2,453.17,8.5,2.3411,3.2804,93.209,0.76,1.88,58.13,27.59,27.43,True,no,0.27170511792864,0.850620904384135,0.56050574516253,-0.578915786455495
60,Aragonite,1.0935,1.18,3,493.13,7.93,2.0474,3.0108,50.455,0.67,1.41,114.43,147.7,36.61,True,no,0.0893835611346854,0.716570695503533,0.534092019146234,-0.627187134368848
61,Aragonite,1.0206,1.1399,4,528.71,6.93,1.283,1.2667,101.51,0.8,1.43,130.74,122.14,61.58,True,no,0.020390689647734,0.249201085633499,0.795479345284489,-0.228810395985765
62,Aragonite,1.0935,1.18,2,569.6,7.8,2.0613,3.0518,68.414,0.75,1.89,43.07,127.73,172.8,True,no,0.0893835611346854,0.723336851723003,0.530490467180905,-0.633953290588318
63,Aragonite,3.4263,2.0887,4,328.32,8.98,2.8985,1.9258,16.354,0.75,1.57,103.77,144.92,57.07,True,no,1.23148096174253,1.06419336179765,1.18209418664827,0.167287599944884
64,Aragonite,1.6038,1.429,4,346.27,8.27,1.8125,1.6088,45,0.7,1.36,114.65,51.07,22.73,True,no,0.472375813390791,0.594707107746693,0.884855172413793,-0.122331294355902
65,Aragonite,4.5198,2.3989,3,481.16,10.74,3.4688,2.0909,140.22,0.91,1.96,108.04,85.18,124.02,True,no,1.50846774507757,1.24380871282314,1.30298662361624,0.264659032254432
66,Aragonite,1.5309,1.3961,5,521.24,8.48,1.9292,1.9093,116.34,0.55,1.81,144.05,118.85,76.92,True,no,0.425855797755898,0.65710540921268,0.793541364296081,-0.231249611456781
67,Aragonite,1.1664,1.2186,2,295.69,9.06,1.4541,1.4237,108.43,1.04,2.36,81.99,159.5,50.02,True,no,0.153922082272257,0.374387152537303,0.802145657107489,-0.220465070265046
68,Aragonite,1.3122,1.2926,3,339.89,10.22,1.5976,1.5277,114.91,0.86,2.16,177.56,157.53,50.89,True,no,0.27170511792864,0.468502503119468,0.82135703555333,-0.196797385190828
69,Aragonite,5.6133,2.6734,6,448,13.35,4.3467,2.6435,96.095,0.99,2.38,54.51,28.75,28.5,True,no,1.72513878188616,1.46941693651265,1.29139347090897,0.25572184537351
70,Aragonite,0.9477,1.0985,4,525.54,9.08,1.6292,2.1996,51.928,0.88,1.74,29.51,53.79,68.37,True,no,-0.0537172825059879,0.48808909679212,0.581696538178247,-0.541806379298108
71,Aragonite,1.5309,1.3961,6,562.05,11.05,2.4895,3.1796,129.92,1.61,2.81,46.62,55.08,165.44,True,no,0.425855797755898,0.9120818871001,0.614942759590279,-0.486226089344202
72,Aragonite,1.0206,1.1399,2,309.71,9.5,1.1521,1.0214,90,0.85,1.52,34.26,104.24,19.62,True,no,0.020390689647734,0.141586364061871,0.885860602378266,-0.121195674414137
73,Aragonite,1.7496,1.4925,2,594.17,10.42,1.4003,1.7605,72.863,0.25,0.38,36.31,136.33,44.24,True,edge,0.559387190380421,0.336686499379594,1.24944654716846,0.222700691000827
74,Aragonite,0.8748,1.0554,4,379.75,10.75,1.3793,1.7081,58.776,0.88,2.47,159.69,166.34,97.38,True,no,-0.133759990179524,0.321576124099337,0.634234756760676,-0.455336114278861
75,Aragonite,20.048,5.0523,13,398.74,15.49,7.5513,2.234,172.89,1.9,4.77,43.76,60.14,144.86,True,no,2.99812939815371,2.02171973386919,2.65490710208838,0.976409664284525
76,Aragonite,1.2393,1.2562,4,518.94,11.94,1.8584,2.1886,79.027,0.61,1.52,91.23,127.77,173.95,True,no,0.214546704088692,0.619715902474062,0.666863969005596,-0.405169198385371
77,Aragonite,3.2805,2.0437,10,535.47,12.22,3.4987,2.9307,25.085,1.05,1.65,166.95,14.16,52.19,True,no,1.1879958498028,1.25239147092726,0.93763397833481,-0.064395621124467
78,Aragonite,2.7702,1.8781,5,546.66,10.97,2.2312,1.4114,174.01,0.63,1.45,41.69,85.8,61.44,True,no,1.01891951975886,0.802539557331142,1.24157404087487,0.216379962427719
79,Aragonite,4.2282,2.3202,7,553.9,12.78,2.7429,1.3975,34.614,0.83,1.64,171.16,114.44,102.62,True,no,1.44177637057889,1.00901575485635,1.54150716395056,0.432760615722541
80,Aragonite,1.2393,1.2562,0,282.76,12.41,1.38,1.2069,48.467,0.62,1.55,5.18,123.08,1.71,True,no,0.214546704088692,0.322083499169113,0.89804347826087,-0.107536795080422
81,Aragonite,2.187,1.6687,5,341.63,14,2.3267,1.9441,46.797,0.56,2.13,70.56,94.83,25.69,True,no,0.782530741694631,0.844450954651111,0.939957880259595,-0.0619202129564799
82,Aragonite,3.2805,2.0437,3,353.49,13.89,2.2098,1.1691,56.054,0.67,1.53,18.64,94.05,114.09,True,no,1.1879958498028,0.792902013696938,1.48452348628835,0.395093836105858
83,Aragonite,2.6244,1.828,7,526.72,12.53,2.4882,1.8528,28.723,0.58,1.32,31.6,117.53,172.44,True,no,0.964852298488585,0.911559557498254,1.05473836508319,0.0532927409903319
84,Aragonite,1.2393,1.2562,3,541.76,12.41,1.6472,1.7194,115.65,0.65,1.5,170.97,114.84,105.37,True,no,0.214546704088692,0.499076876731443,0.752367654201069,-0.284530172642751
85,Aragonite,5.3217,2.603,6,333.11,16.23,4.0741,2.4496,40.697,1.25,2.66,22.27,52.39,40.39,True,no,1.67179280118087,1.4046498634042,1.30622714219091,0.267142937776664
86,Aragonite,0.9477,1.0985,2,369.08,13.15,1.4797,1.8146,115.91,0.43,1.05,55.21,51.34,24.36,True,no,-0.0537172825059879,0.391839364526351,0.640467662363993,-0.445556647032339
87,Aragonite,21.506,5.2327,15,373.32,22.44,9.6286,3.3859,24.364,1.43,4.72,8.63,114.53,145.54,True,no,3.06833196596833,2.2647378362176,2.23355420310325,0.803594129750739
88,Aragonite,1.0935,1.18,5,420.4,14.2,1.7328,2.1565,51.144,0.56,0.95,94.44,156.94,50.75,True,no,0.0893835611346854,0.549738597264589,0.631059556786704,-0.460355036129904
89,Aragonite,2.3328,1.7234,4,296.13,16.41,2.4408,2.0057,107.03,0.81,1.49,90.94,156.19,59.58,True,no,0.847069262832202,0.892325854420323,0.955752212389381,-0.0452565915881207
90,Aragonite,2.9889,1.9508,4,325.93,15.05,2.9377,2.2677,30.279,0.69,1.41,23.17,50.86,41,True,no,1.09490542673678,1.07762696225897,1.01742860060592,0.0172784644778087
91,Aragonite,2.1141,1.6407,5,374.24,13.97,2.1549,1.7252,25.457,0.86,2.06,112.94,28.89,90.21,True,no,0.748629190018949,0.767744318766729,0.981066406793819,-0.0191151287477791
92,Aragonite,1.8954,1.5535,4,471.65,15.81,2.2693,2.134,105.67,0.87,1.95,42.51,19.11,38.59,True,no,0.639429898053957,0.81947141389344,0.835235535187062,-0.180041515839482
93,Aragonite,0.8019,1.0105,4,520.82,14.09,1.3856,1.8802,76.717,0.33,0.84,115.65,12.15,159.11,True,no,-0.220771367169154,0.326133258826034,0.578738452655889,-0.546904625995188
94,Aragonite,4.1553,2.3002,4,561.12,16.3,2.8017,1.4836,160.23,1.2,3.57,43.18,81.77,64.66,True,no,1.42438462786703,1.03022637580164,1.48313523931899,0.394158252065381
95,Aragonite,1.0206,1.1399,4,568.07,13.29,1.5918,1.9498,19.44,0.81,1.62,45.31,53.02,168.13,True,no,0.020390689647734,0.464865451389612,0.641160949868074,-0.444474761741878
96,Aragonite,19.027,4.922,15,437.17,25.05,6.3965,1.6889,55.62,1.97,5.87,79.4,110.39,121.7,True,no,2.94585902305826,1.85575096577495,2.97459548190417,1.09010805728331
97,Aragonite,9.9144,3.5529,9,480.38,19.77,3.7532,1.1159,96.1,1.71,3.26,64.11,41.95,8.4,True,no,2.29398824576853,1.32260880943376,2.64158584674411,0.97137943633477
98,Aragonite,2.916,1.9269,9,543.3,16.7,2.2457,1.3583,173.31,1.46,3.28,100.17,114.34,71.58,True,no,1.07021281414641,0.809017276602359,1.29848154250345,0.261195537544053
99,Aragonite,1.3122,1.2926,2,572.22,15.28,1.5038,1.3536,31.098,0.38,0.98,43.6,127.31,172.21,True,no,0.27170511792864,0.407995237961789,0.872589440085118,-0.136290120033149
100,Aragonite,1.7496,1.4925,3,593.5,14,1.235,1.3693,180,0.31,0.95,39.28,118.62,28.31,True,edge,0.559387190380421,0.211070970079941,1.41668016194332,0.34831622030048
101,Aragonite,1.6767,1.4611,3,346.78,16.35,1.9931,1.8609,141.44,0.67,0.82,135.4,62.25,82.85,True,no,0.516827575961625,0.689691215586555,0.841252320505745,-0.17286363962493
102,Aragonite,0.729,0.96343,3,365.4,15.7,1.055,1.1992,156.89,0.32,1.5,148.31,160.64,80.56,True,no,-0.316081546973479,0.0535407669280298,0.690995260663507,-0.369622313901509
103,Aragonite,0.8019,1.0105,3,534.36,15.64,1.1797,1.3631,115.41,0.29,0.66,30.21,68.25,43.97,True,no,-0.220771367169154,0.16526016886566,0.679749088751377,-0.386031536034814
104,Aragonite,1.0206,1.1399,2,291.71,16.36,1.2789,1.2587,125.51,0.53,1.54,10.65,55.72,30.99,True,no,0.020390689647734,0.246000333457137,0.798029556650246,-0.225609643809403
105,Aragonite,0.729,0.96343,2,320.1,16.8,1.1081,1.3229,63.435,0.45,0.82,47.29,59.29,148.21,True,no,-0.316081546973479,0.102646836960143,0.657882862557531,-0.418728383933622
106,Aragonite,0.9477,1.0985,5,369.31,17.08,1.3444,1.498,134.61,0.49,1.87,75.59,111.55,22.47,True,no,-0.0537172825059879,0.295947816868814,0.704924129723297,-0.349665099374801
107,Aragonite,1.0206,1.1399,4,423.5,16.29,1.5235,1.7861,10.592,0.62,0.99,67.23,26.15,26.81,True,no,0.020390689647734,0.421010319443627,0.66990482441746,-0.400619629795893
108,Aragonite,6.2694,2.8253,6,527.53,21.95,3.312,1.3742,100.26,0.81,2.6,73.25,115.28,45.43,True,no,1.83568065628598,1.19755223652301,1.8929347826087,0.63812841976297
109,Aragonite,0.9477,1.0985,4,538.23,17.38,1.8439,2.8177,101.99,0.94,1.57,74.48,115.56,44.72,True,no,-0.0537172825059879,0.611882893728982,0.513964965562124,-0.66560017623497
110,Aragonite,19.975,5.0431,5,590.64,21.92,4.4034,1.5248,102.48,1.07,2.64,39.79,35.63,138.43,True,edge,2.99448149165234,1.48237696979694,4.5362674297134,1.5121045218554
111,Aragonite,1.8225,1.5233,1,274.2,18.56,1.7105,1.2609,30.635,0.65,1.8,15.96,55.8,29.71,True,no,0.600209184900676,0.536785725435522,1.0654779304297,0.063423459465154
112,Aragonite,5.7591,2.7079,4,286.23,20.92,3.2844,1.4711,40.109,0.88,2.49,94.32,153.47,66.26,True,no,1.7507812124995,1.1891839868525,1.75347095359883,0.561597225647
113,Aragonite,8.8938,3.3651,8,340.29,22.71,4.0414,1.4423,157.02,0.76,1.65,20,97.08,119.11,True,no,2.18535440476573,1.39659116659726,2.2006730340971,0.788763238168473
114,Aragonite,1.6038,1.429,4,355.36,18.77,1.7635,1.5229,57.972,0.55,1.81,39.81,48.57,33.62,True,no,0.472375813390791,0.56730047069397,0.909441451658633,-0.0949246573031785
115,Aragonite,1.6767,1.4611,6,362.26,18.61,1.8223,1.5556,106.03,0.47,1.18,51.73,41.12,37.62,True,no,0.516827575961625,0.600099439509872,0.920100971300006,-0.0832718635482472
116,Aragonite,5.9778,2.7588,7,412.62,22.35,3.8365,1.9338,55.406,0.81,2.49,77.18,35.71,174.4,True,no,1.78805260729673,1.34456049263558,1.55813892871106,0.443492114661146
117,Aragonite,0.8019,1.0105,2,444.45,18.36,1.2748,1.5916,96.768,0.8,1.31,98.31,139.72,21.83,True,no,-0.220771367169154,0.242789303561044,0.629039849388139,-0.463560670730198
118,Aragonite,8.8209,3.3513,7,512.27,20.49,4.828,2.0755,4.8366,1.09,2.54,142.9,42.4,19.38,True,no,2.17712390562922,1.57443230323529,1.82702982601491,0.602691602393931
119,Aragonite,0.8019,1.0105,5,531.55,17.55,1.3459,1.7743,167.78,0.69,1.1,47.26,56.33,166.01,True,no,-0.220771367169154,0.297062934257533,0.595809495504867,-0.517834301426687
120,Aragonite,1.3851,1.328,3,300.63,20,1.8708,1.9846,110.98,0.52,1.14,17.82,53.16,25.99,True,no,0.325772339198916,0.626366146869594,0.740378447722899,-0.300593807670678
121,Aragonite,0.8019,1.0105,3,358.91,18.64,1.2028,1.4169,105.07,0.58,0.89,117.65,143.96,41.96,True,no,-0.220771367169154,0.184652172132237,0.666694379780512,-0.405423539301391
122,Aragonite,1.3851,1.328,4,367.16,19.53,1.5873,1.4287,147.58,1.02,3.45,28.22,68.82,65.59,True,no,0.325772339198916,0.462034459596059,0.872613872613873,-0.136262120397143
123,Aragonite,5.3946,2.6208,5,397.62,23.32,3.6518,1.9416,137.9,1.91,3.19,6.27,112.62,146.7,True,no,1.68539845323665,1.2952201967205,1.47724409880059,0.39017825651615
124,Aragonite,1.3851,1.328,5,417.79,20.79,2.3921,3.2445,80.867,0.88,1.56,65.57,151.64,171.81,True,no,0.325772339198916,0.872171641234605,0.579030976965846,-0.546399302035689
125,Aragonite,1.1664,1.2186,2,464.19,19.88,1.7525,2.068,94.058,1.05,2.11,39.49,21.71,40.55,True,no,0.153922082272257,0.561043339926608,0.665563480741797,-0.407121257654351
126,Aragonite,0.729,0.96343,3,546,19.5,1.8281,3.6006,113.74,0.98,1.51,160.14,120.47,98.26,True,no,-0.316081546973479,0.603277176130902,0.398774684098244,-0.919358723104381
127,Aragonite,9.8415,3.5399,9,554.76,23.24,4.0786,1.3275,5.6136,1.65,3.23,101.51,111.58,69.72,True,no,2.2866081384709,1.40575379227611,2.41296032952484,0.880854346194795
128,Aragonite,4.5927,2.4182,5,566.9,22.54,2.9769,1.5155,67.552,0.63,1.26,175.09,61.65,41.96,True,no,1.52446808642401,1.09088249060617,1.54277940139071,0.43358559581784
129,Aragonite,1.0206,1.1399,3,420.07,20.29,1.9053,2.7936,69.2,0.61,1.35,48.19,45.08,117.7,True,no,0.020390689647734,0.644639476494902,0.535663675011809,-0.624248786847168
130,Aragonite,1.0206,1.1399,2,523.29,19.86,1.3304,1.362,121.01,0.65,1.24,29.53,67.59,43.45,True,no,0.020390689647734,0.285479648896581,0.767137702946482,-0.265088959248847
131,Aragonite,1.3851,1.328,5,535.95,20.53,1.7874,1.8116,107.97,0.71,1.41,135.67,139.89,86.15,True,no,0.325772339198916,0.580762049965155,0.774924471299094,-0.254989710766239
132,Aragonite,2.0412,1.6121,3,277.89,21.46,2.1833,1.8341,15.762,0.61,1.38,98.34,151.51,66.53,True,no,0.713537870207679,0.780837493686934,0.934915036870792,-0.0672996234792545
133,Aragonite,4.8114,2.4751,9,423.38,27.35,4.9041,3.9258,98.778,0.97,2.12,77.74,95.39,166.96,True,no,1.5709881020589,1.59007158994314,0.981097449073224,-0.019083487884234
134,Aragonite,1.2393,1.2562,2,427.47,21.65,1.8926,2.2701,112.5,0.64,1.21,7.32,128.66,81.37,True,no,0.214546704088692,0.637951545091995,0.654813484095953,-0.423404841003304
135,Aragonite,4.7385,2.4563,7,464.77,26.22,3.54,2.077,119.66,1.14,3.52,7.01,34.33,38.72,True,no,1.55572062992811,1.26412672714568,1.3385593220339,0.291593902782429
136,Aragonite,8.1648,3.2242,5,488.52,25.52,3.5939,1.2424,69.021,1.88,3.95,22.99,111.82,22.47,True,no,2.09983223132757,1.2792379638229,2.27184952280253,0.820594267504665
137,Aragonite,1.3851,1.328,4,533.37,22.05,2.0895,2.4757,117.06,0.84,1.68,30.56,66.99,43.95,True,no,0.325772339198916,0.736924802905833,0.662885857860732,-0.411152463706917
138,Aragonite,1.9683,1.5831,7,538.7,23.44,2.9672,3.513,62.191,1.28,3.4,173.53,119.53,108.43,True,no,0.677170226036804,1.08761874719324,0.663352655702346,-0.41044852115644
139,Aragonite,3.4263,2.0887,6,582.74,23.3,2.3811,1.2996,13.581,0.97,2.02,2.3,91.34,157.13,True,no,1.23148096174253,0.867562565782803,1.43895678467935,0.363918395959731
