Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
50,Aragonite,1.08,1.1726,0,351.75,15.42,1.3423,1.3103,57.933,0.18,0.21,50.97,154.73,25.82,True,no,0.0769610411361284,0.294384560511453,0.804589138046636,-0.217423519375325
51,Aragonite,1.08,1.1726,1,522.58,15.75,1.3423,1.3103,147.93,0.14,0.87,148.88,62,127.87,True,no,0.0769610411361284,0.294384560511453,0.804589138046636,-0.217423519375325
52,Aragonite,2.7,1.8541,2,58.57,16.73,2.6134,1.9867,4.9944,1.01,1.94,176.63,76.39,2.08,True,no,0.993251773010283,0.960652055572909,1.03313690977271,0.0325997174373747
53,Aragonite,10.26,3.6143,3,188.55,21.11,4.069,1.2674,26.687,1.19,4.49,9.07,79.16,141.73,True,no,2.32825283974262,1.40339726901955,2.52150405505038,0.924855570723071
54,Aragonite,1.17,1.2205,3,77.31,18.15,1.8842,2.3832,138.28,0.61,0.84,57.45,139.06,82.69,True,no,0.157003748809665,0.63350332763243,0.620953189682624,-0.476499578822766
55,Aragonite,3.24,2.0311,3,115.08,20.42,3.0993,2.3284,112.06,1.97,2.95,110.07,118.39,120.09,True,no,1.17557332980424,1.13117627954137,1.04539734778821,0.0443970502628658
56,Aragonite,1.98,1.5878,4,142.32,18.95,2.4466,2.3745,64.405,0.99,2.53,37.83,102.97,121.17,True,no,0.683096844706444,0.894699305630679,0.809286356576473,-0.211602460924235
57,Aragonite,0.9,1.0705,4,145.8,17.7,1.3696,1.637,108.22,0.54,1.46,173.96,26.93,97.81,True,no,-0.105360515657826,0.314518726405341,0.657126168224299,-0.419879242063167
58,Aragonite,0.9,1.0705,1,15.8,18.7,1.4143,1.7457,81.525,0.41,0.95,99.2,113.2,140.28,True,no,-0.105360515657826,0.346634709044317,0.636357208513045,-0.451995224702143
59,Aragonite,2.16,1.6584,2,31.71,20.29,2.3254,1.9663,80.102,0.61,1.45,26.94,30.62,131.84,True,no,0.770108221696074,0.843892067252371,0.92887245205126,-0.0737838455562971
60,Aragonite,3.15,2.0027,3,50.74,20.91,2.9357,2.1488,99.495,0.46,1.07,138.79,91.75,117.02,True,no,1.14740245283754,1.07694592569504,1.07299792213101,0.0704565271424998
61,Calcite,0.9,1.0705,0,336.8,18,1.2039,1.2649,90,0.16,0.78,91.81,34.05,82.48,True,no,-0.105360515657826,0.185566286958844,0.74757039621231,-0.29092680261667
62,Aragonite,0.99,1.1227,0,395.82,18.82,1.1441,1.0385,45,0.23,1.26,1.15,93.81,20.24,True,no,-0.0100503358535015,0.134618301724761,0.865308976488069,-0.144668637578263
63,Aragonite,0.9,1.0705,3,35,19.5,1.3679,1.633,63.435,0.4,0.72,65.82,27.63,165.29,True,no,-0.105360515657826,0.313276717113261,0.657942832078368,-0.418637232771088
