"","Nr.","Phase","Area","d","l","Xcg","Ycg","Major","Aspect_ratio","Slope","GOS","MOS","Mean_E1","Mean_E2","Mean_E3","In_current_dataset","Border_grain","Log_Area","Log_Major","Minor","Log_Minor"
"56",56,"Aragonite",3.1117,1.9905,4,695.08,56.65,2.5197,1.6025,38.561,0.61,1.04,111.27,27.97,73.8,"True","no",1.13516920064099,0.924139846817554,1.23494860499266,0.211029353823436
"57",57,"Aragonite",15.727,4.4748,8,580.87,59.21,7.5225,2.826,4.6104,1.38,3.86,11,57.61,173.99,"True","no",2.75537898050859,2.01789852952206,2.09066134928548,0.737480450986525
"58",58,"Aragonite",4.1209,2.2906,3,620.73,56.9,3.4113,2.2179,14.855,1.36,3.83,17.83,58.4,167.54,"True","no",1.41607158610739,1.22709345031665,1.20801453991147,0.188978135790742
"59",59,"Aragonite",1.682,1.4634,4,667.7,56.35,1.703,1.3543,115.87,0.34,0.59,115.21,16.4,27.62,"True","no",0.519983561550756,0.532391401680551,0.987668819729888,-0.0124078401297949
"60",60,"Aragonite",7.9054,3.1726,7,675.46,61.2,4.378,1.9042,140.07,0.7,1.66,147.96,131.24,10.51,"True","no",2.06754607026677,1.47659199910067,1.80571037003198,0.590954071166098
"61",61,"Aragonite",3.2799,2.0436,5,700.38,57.79,2.4465,1.4332,42.18,0.71,1.09,169.99,153.7,163.16,"True","no",1.18781293412641,0.894658431747041,1.34064990803188,0.293154502379371
"62",62,"Aragonite",1.1774,1.2244,1,551.57,57.43,1.4168,1.339,155.02,0.16,0.47,117.87,40.63,73.08,"True","no",0.163308617612024,0.348400807486487,0.83102766798419,-0.185092189874463
"63",63,"Aragonite",2.2707,1.7003,3,561.07,58.11,1.9385,1.2998,130.66,0.45,0.74,168.88,18.89,24.59,"True","no",0.820088154001094,0.661914478128847,1.17136961568223,0.158173675872248
"64",64,"Aragonite",1.1774,1.2244,2,600.36,57.79,1.5324,1.5664,3.5625,0.32,0.5,103.18,100.99,26.79,"True","no",0.163308617612024,0.426835133844357,0.768337248760115,-0.263526516232333
"65",65,"Aragonite",2.3548,1.7315,6,626.93,58.89,1.9171,1.2258,41.571,1.2,3.43,27.15,89.87,121.02,"True","no",0.856455798171969,0.650813627543867,1.22831359866465,0.205642170628102
"66",66,"Aragonite",1.1774,1.2244,5,716.79,58.21,1.5071,1.5151,111.44,0.23,0.49,81.82,119.17,62.66,"True","no",0.163308617612024,0.410187274443494,0.781235485369252,-0.24687865683147
