Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
3153	Aragonit	2.6064	1.8217	6	505.52	653.73	1.9809	1.1824	30.825	0.86	2.45	0.51	20.67	4.91	True	no
3154	Aragonit	0.8784	1.0576	3	724.52	650.89	1.1652	1.2139	113.23	0.85	2.15	142.06	140.09	120.30	True	no
3155	Aragonit	2.8656	1.9101	5	770.07	654.49	2.1709	1.2916	127.58	0.74	3.08	87.84	142.47	12.21	True	no
3156	Aragonit	3.5568	2.1281	8	850.32	655.27	2.8926	1.8476	39.682	0.78	2.35	125.96	107.44	74.03	True	no
3157	Aragonit	1.8864	1.5498	6	626.79	654.17	1.8202	1.3794	86.152	0.69	2.12	115.49	166.50	124.29	True	no
3158	Aragonit	0.3456	0.66335	3	667.75	650.17	0.89829	1.8338	94.668	0.45	1.46	98.36	172.85	41.88	True	no
3159	Aragonit	0.8208	1.0223	6	744.21	652.68	1.2994	1.6155	84.639	0.57	1.26	141.94	141.01	119.74	True	no
3160	Aragonit	0.3168	0.63511	2	523.23	651.91	0.86061	1.8362	77.53	0.42	1.16	12.31	21.34	70.47	True	no
3161	Aragonit	19.584	4.9935	18	538.08	676.77	7.1798	2.0673	124.7	0.96	4.35	16.07	16.52	164.21	True	no
3162	Aragonit	0.6768	0.92829	4	634.57	653.13	1.421	2.3431	80.761	0.78	1.51	114.35	166.28	110.41	True	no
3163	Aragonit	0.1728	0.46906	2	739.50	650.00	0.58589	1.5602	126.65	0.46	0.79	142.16	140.83	56.30	True	no
3164	Aragonit	0.3168	0.63511	3	863.55	650.27	0.76286	1.4428	95.342	0.40	1.34	124.96	106.62	15.60	True	no
3165	Aragonit	1.5696	1.4137	4	892.98	654.79	1.8897	1.7869	113.75	0.73	1.55	102.96	128.26	37.46	True	no
3166	Aragonit	1.1376	1.2035	5	640.37	654.29	1.5407	1.6389	48.77	0.66	1.12	114.66	166.46	173.80	True	no
3167	Aragonit	0.144	0.42819	2	698.30	650.60	0.53756	1.5761	59.75	0.32	0.46	72.63	67.00	28.45	True	no
