Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
2139	Aragonite	3.625	2.1484	2	170.81	191.03	2.4996	1.3537	114.36	1.09	2.33	35.21	28.60	94.42	True	no
2140	Aragonite	3.5625	2.1298	7	186.21	192.58	2.82	1.7532	111.09	1.35	2.65	129.32	96.72	41.03	True	no
2141	Aragonite	1.5625	1.4105	4	226.56	191.48	2.6162	3.4403	86.817	1.34	2.86	68.32	55.05	44.05	True	no
2142	Aragonite	2.4375	1.7617	2	258.79	189.46	1.8835	1.1431	169.82	0.94	1.53	37.83	79.57	131.81	True	no
2143	Aragonite	0.8125	1.0171	2	267.77	188.54	1.3775	1.8341	67.672	0.52	0.65	61.85	69.11	102.59	True	no
2144	Aragonite	1.5	1.382	6	283.29	190.04	1.8641	1.8195	82.137	0.91	1.55	3.99	91.29	94.38	True	no
2145	Aragonite	1.5	1.382	5	512.17	189.38	1.6325	1.3953	115.23	0.49	1.20	134.19	67.93	5.00	True	no
2146	Aragonite	0.8125	1.0171	4	578.54	188.38	1.322	1.6894	98.119	0.81	1.33	130.13	73.01	41.74	True	no
2147	Aragonite	0.8125	1.0171	1	597.00	188.00	1.0171	1	90	0.66	0.86	133.53	102.53	37.63	True	no
2148	Aragonite	0.9375	1.0925	3	117.60	189.07	1.2548	1.3191	80.538	0.71	0.76	118.80	80.94	44.35	True	no
2149	Aragonite	0.625	0.89206	1	131.00	188.80	1.0033	1.2649	90	0.96	1.15	156.71	107.65	40.94	True	no
2150	Aragonite	1.3125	1.2927	3	159.38	188.57	1.5859	1.5051	7.2025	0.85	1.59	145.10	123.00	33.65	True	no
2151	Aragonite	3.25	2.0342	6	192.69	191.19	2.8265	1.9307	129.22	1.35	2.49	117.14	94.90	39.02	True	no
2152	Aragonite	0.6875	0.9356	2	224.55	189.27	1.6899	3.2626	93.058	0.85	1.27	108.99	103.34	37.35	True	no
2153	Aragonite	0.9375	1.0925	0	248.73	188.73	1.254	1.3175	169.43	0.51	1.50	79.70	53.45	100.80	True	no
2154	Aragonite	0.625	0.89206	3	285.90	189.30	1.2808	2.0616	105.26	0.36	0.40	56.64	94.36	96.21	True	no
2155	Aragonite	1.125	1.1968	2	389.89	189.61	1.2995	1.179	96.553	0.81	1.41	97.50	33.60	5.46	True	no
2156	Aragonite	0.8125	1.0171	1	437.85	188.69	1.5702	2.3832	131.72	0.43	1.64	79.48	13.65	38.77	True	no
2157	Aragonite	1.875	1.5451	4	478.77	190.40	3.3486	4.6969	143.29	1.08	1.64	137.34	70.16	6.02	True	no
2158	Aragonite	1.5	1.382	5	496.71	189.96	2.2923	2.7514	132.82	0.86	1.88	41.58	173.85	76.50	True	no
2159	Aragonite	1.8125	1.5191	3	516.83	191.76	2.4137	2.5246	122.26	0.65	1.41	84.99	6.93	50.58	True	no
2160	Aragonite	1.25	1.2616	3	79.85	192.15	2.8413	5.0724	113.09	0.54	1.13	117.51	162.51	176.92	True	no
2161	Aragonite	1.4375	1.3529	2	105.43	191.57	2.0824	2.3693	74.925	0.94	2.91	99.32	57.22	38.39	True	no
2162	Aragonite	0.9375	1.0925	3	198.73	189.80	1.2414	1.291	71.565	0.79	2.07	135.41	108.45	48.48	True	no
2163	Aragonite	8.125	3.2164	9	226.96	195.94	3.5477	1.2166	15.73	1.76	3.67	156.74	141.45	64.18	True	no
2164	Aragonite	1.5	1.382	2	235.25	190.63	1.7867	1.6715	112.24	1.36	1.88	16.22	77.83	144.32	True	no
2165	Aragonite	1.25	1.2616	4	294.50	191.55	1.8365	2.1192	81.964	0.70	1.46	66.14	67.71	68.44	True	no
2166	Aragonite	0.625	0.89206	1	435.00	189.90	1.0546	1.3975	140.19	0.35	1.77	117.90	126.27	6.72	True	no
2167	Aragonite	0.6875	0.9356	2	453.36	189.09	1.1137	1.4169	164.93	0.43	1.01	145.75	121.60	26.62	True	no
2168	Aragonite	4.875	2.4914	5	505.21	192.14	2.9199	1.3736	178.09	0.69	2.00	147.80	53.90	173.18	True	no
2169	Aragonite	1.625	1.4384	5	148.54	193.08	2.3192	2.5997	122.81	0.74	1.51	107.32	64.41	26.23	True	no
2170	Aragonite	1.1875	1.2296	4	279.53	191.63	1.4372	1.3661	85.768	0.53	1.20	46.52	89.96	110.94	True	no
2171	Aragonite	1.375	1.3231	3	394.86	191.45	1.5233	1.3255	74.569	0.73	1.56	84.43	25.23	17.86	True	no
2172	Aragonite	0.625	0.89206	2	462.80	190.00	1.0033	1.2649	90	0.26	0.26	127.09	105.20	10.75	True	no
2173	Aragonite	0.875	1.0555	4	493.07	191.50	1.4158	1.7991	97.534	0.47	1.15	132.45	107.03	127.85	True	no
2174	Aragonite	3.625	2.1484	4	530.45	193.74	2.5351	1.3925	131.61	0.91	1.76	18.82	33.67	83.09	True	no
2175	Aragonite	6.875	2.9586	8	550.26	197.19	4.0436	1.8679	84.585	1.07	2.32	23.90	37.63	70.22	True	no
2176	Aragonite	0.6875	0.9356	2	555.64	189.91	1.1137	1.4169	164.93	0.06	0.35	136.61	83.12	38.80	True	no
2177	Aragonite	1.3125	1.2927	4	82.81	194.29	2.4489	3.5888	113.32	0.73	1.91	120.43	99.66	179.62	True	no
2178	Aragonite	16.938	4.6439	13	156.57	204.10	5.8899	1.6086	63.743	1.49	3.96	37.14	34.66	83.36	True	no
2179	Aragonite	0.75	0.97721	2	181.58	191.50	1.0533	1.1618	28.713	0.92	1.60	156.84	96.86	62.07	True	no
2180	Aragonite	1.375	1.3231	4	207.95	192.32	1.4191	1.1502	44.542	0.81	1.26	57.89	50.61	59.10	True	no
2181	Aragonite	0.8125	1.0171	4	275.15	191.38	1.3632	1.7963	36.729	0.59	1.43	107.59	70.37	98.38	True	no
2182	Aragonite	0.9375	1.0925	4	291.80	191.87	1.328	1.4774	80.101	0.56	1.44	7.98	61.00	100.57	True	no
2183	Aragonite	0.6875	0.9356	2	306.91	191.73	1.1311	1.4616	8.1301	0.23	0.26	59.15	77.90	73.80	True	no
2184	Aragonite	0.9375	1.0925	1	361.13	191.53	1.1651	1.1371	14.036	0.74	1.93	74.60	119.03	136.51	True	no
2185	Aragonite	1.1875	1.2296	1	365.58	192.16	1.4966	1.4815	109.86	0.86	1.19	171.00	38.62	98.12	True	no
2186	Aragonite	0.625	0.89206	2	450.00	191.50	1.14	1.633	116.57	0.57	0.57	89.20	14.68	35.40	True	no
2187	Aragonite	1	1.1284	4	496.19	193.25	1.7516	2.4098	115.37	0.48	1.09	62.93	131.96	89.84	True	no
2188	Aragonite	3	1.9544	4	581.40	194.21	2.6093	1.7825	113.5	0.83	2.24	63.59	33.44	49.89	True	no
2189	Aragonite	0.6875	0.9356	3	585.00	192.09	1.2829	1.8802	93.82	0.34	0.41	126.75	78.55	42.64	True	no
2190	Aragonite	1.375	1.3231	3	588.27	191.95	1.3797	1.0874	112.36	0.26	1.20	173.91	123.85	53.15	True	no
2191	Aragonite	5.25	2.5854	5	115.48	196.74	2.8815	1.2422	139.54	0.87	2.24	166.34	124.67	44.01	True	no
2192	Aragonite	0.75	0.97721	2	119.50	192.50	0.97721	1	90	0.40	0.50	126.58	73.49	37.11	True	no
2193	Aragonite	2.375	1.7389	5	203.11	195.13	2.0374	1.3728	84.721	1.27	2.55	9.01	41.19	104.09	True	no
2194	Aragonite	1.375	1.3231	3	270.68	193.45	1.4502	1.2013	101.72	0.53	1.16	120.58	61.39	83.22	True	no
2195	Aragonite	1.125	1.1968	3	453.56	193.06	1.4553	1.4786	76.89	0.63	1.78	131.25	57.30	22.12	True	no
2196	Aragonite	4.5	2.3937	6	475.06	196.60	3.3716	1.984	136.05	0.93	2.00	139.78	103.93	12.10	True	no
2197	Aragonite	2.1875	1.6689	6	537.34	195.40	2.169	1.6891	91.1	0.86	1.77	25.67	36.80	70.24	True	no
2198	Aragonite	0.625	0.89206	2	85.10	193.40	1.0425	1.3657	137.75	0.52	1.47	121.27	88.53	0.70	True	no
2199	Aragonite	0.875	1.0555	3	214.71	193.50	1.0667	1.0214	90	0.89	2.01	62.82	54.17	55.25	True	no
2200	Aragonite	0.625	0.89206	4	276.90	194.10	1.1484	1.6572	97.688	0.81	0.96	4.08	60.06	126.87	True	no
2201	Aragonite	0.9375	1.0925	4	286.73	193.93	1.3261	1.4733	117.55	0.91	1.35	18.77	63.34	106.60	True	no
2202	Aragonite	1.125	1.1968	2	296.22	195.56	1.478	1.5251	89.497	0.68	1.25	66.66	68.26	74.06	True	no
2203	Aragonite	1.125	1.1968	3	302.50	194.33	1.6339	1.8637	74.305	1.10	3.20	119.96	108.10	70.10	True	no
2204	Aragonite	0.9375	1.0925	2	389.67	193.47	1.2314	1.2704	155.02	0.12	0.76	103.09	151.92	179.44	True	no
2205	Aragonite	0.625	0.89206	3	477.50	193.00	1.14	1.633	153.43	0.54	0.90	83.20	69.36	31.34	True	no
2206	Aragonite	0.625	0.89206	4	557.50	193.00	1.14	1.633	153.43	0.08	0.21	52.43	128.51	14.17	True	no
2207	Aragonite	3.0625	1.9747	5	98.12	197.24	2.3434	1.4084	117.73	0.61	1.82	108.12	66.62	32.48	True	no
2208	Aragonite	0.6875	0.9356	4	176.73	194.91	1.0656	1.2973	75.85	0.52	0.57	25.63	38.90	90.11	True	no
2209	Aragonite	1	1.1284	4	309.13	194.69	1.437	1.6219	39.13	0.61	0.85	38.95	87.28	68.46	True	no
2210	Aragonite	0.875	1.0555	2	313.64	194.43	1.2035	1.3001	165.58	0.46	0.80	80.32	88.51	71.65	True	no
2211	Aragonite	0.625	0.89206	0	337.60	194.20	1.0256	1.3219	63.014	0.82	1.49	82.68	111.03	169.34	True	no
2212	Aragonite	1.375	1.3231	1	396.68	196.18	1.5174	1.3153	115.99	0.55	1.39	91.72	25.10	6.42	True	no
2213	Aragonite	2.9375	1.9339	4	515.83	196.87	3.1215	2.6052	145.71	0.68	1.68	141.43	117.88	175.17	True	no
2214	Aragonite	2.875	1.9133	4	557.07	197.37	2.5109	1.7224	142.11	0.83	2.19	131.72	31.83	35.36	True	no
2215	Aragonite	0.6875	0.9356	2	156.91	195.73	1.3316	2.0258	65.663	0.73	1.03	147.79	121.01	45.04	True	no
2216	Aragonite	2.25	1.6926	7	181.58	196.92	2.1206	1.5698	142.94	0.85	1.74	133.64	108.97	41.43	True	no
2217	Aragonite	0.75	0.97721	3	210.67	195.50	1.1939	1.4927	84.523	0.49	0.98	106.69	101.65	45.06	True	no
2218	Aragonite	1.6875	1.4658	5	274.11	197.07	1.6461	1.2611	111.35	0.59	0.94	63.89	54.65	98.96	True	no
2219	Aragonite	1.25	1.2616	6	283.65	197.10	1.7182	1.8549	71.481	0.44	1.41	173.27	98.40	59.15	True	no
2220	Aragonite	4.75	2.4592	4	467.83	200.45	3.6935	2.2557	125.65	1.12	2.95	171.99	163.60	47.00	True	no
2221	Aragonite	1.25	1.2616	2	469.75	196.70	1.817	2.0743	125.35	0.57	0.99	114.12	53.91	14.93	True	no
2222	Aragonite	1.25	1.2616	3	484.70	195.65	1.6352	1.6801	171.3	0.87	1.51	136.98	70.60	5.46	True	no
2223	Aragonite	1	1.1284	5	493.81	195.88	1.43	1.606	144.58	0.97	1.32	63.02	130.94	89.54	True	no
2224	Aragonite	1	1.1284	3	93.25	196.88	1.4358	1.6192	120.25	1.03	2.11	124.39	97.79	0.97	True	no
2225	Aragonite	1	1.1284	4	125.13	197.44	1.225	1.1785	63.032	0.34	0.45	166.80	122.36	42.22	True	no
2226	Aragonite	2.1875	1.6689	4	154.51	198.46	1.9691	1.3922	133.58	0.81	2.51	105.25	72.00	38.72	True	no
2227	Aragonite	0.9375	1.0925	4	174.00	197.87	1.4589	1.7831	60.987	0.90	1.94	149.00	120.73	33.81	True	no
2228	Aragonite	1.125	1.1968	3	197.83	197.28	1.33	1.2349	148.41	0.63	0.96	126.88	103.77	39.05	True	no
2229	Aragonite	8.25	3.241	8	214.80	200.83	4.3657	1.8144	155.24	2.99	6.28	155.62	134.52	63.92	True	no
2230	Aragonite	1.25	1.2616	5	279.10	197.30	1.4333	1.2908	56.417	0.56	0.92	116.71	65.09	68.18	True	no
2231	Aragonite	0.625	0.89206	4	290.80	196.10	1.026	1.3229	26.565	0.92	1.60	10.93	67.86	87.67	True	no
2232	Aragonite	0.75	0.97721	3	305.25	197.42	1.5788	2.6103	76.563	1.01	1.61	42.11	78.45	54.28	True	no
2233	Aragonite	1.5	1.382	6	499.88	197.17	1.4543	1.1074	176.93	0.58	1.30	83.37	21.67	55.24	True	no
2234	Aragonite	4.6875	2.443	8	544.00	202.33	4.0146	2.7004	102.91	0.89	1.75	117.04	122.11	43.37	True	no
2235	Aragonite	3.875	2.2212	6	566.79	199.26	2.754	1.5372	114.54	1.27	2.43	129.64	33.40	37.06	True	no
2236	Aragonite	3.875	2.2212	3	588.98	198.68	2.5001	1.2669	155.56	0.94	1.98	78.88	47.13	67.67	True	no
2237	Aragonite	2.75	1.8712	3	77.20	202.23	3.0119	2.5907	85.269	0.64	1.62	136.64	36.32	170.10	True	no
2238	Aragonite	5.4375	2.6312	4	92.08	202.48	3.6247	1.8978	127.41	0.85	1.96	122.52	34.80	1.25	True	no
2239	Aragonite	1.4375	1.3529	3	132.39	199.78	2.2452	2.7543	103.67	0.72	1.69	125.09	73.95	41.95	True	no
2240	Aragonite	1.8125	1.5191	3	137.69	198.55	1.7055	1.2604	120.91	0.56	1.12	111.23	58.77	46.16	True	no
2241	Aragonite	1.25	1.2616	3	194.20	198.50	1.6702	1.7527	126.37	1.23	1.45	69.61	46.78	65.02	True	no
2242	Aragonite	1.4375	1.3529	3	267.39	199.22	1.598	1.3951	69.204	0.69	1.41	123.95	77.92	55.54	True	no
2243	Aragonite	0.8125	1.0171	3	299.00	198.00	1.1712	1.3259	52.018	0.20	1.33	120.92	97.23	69.05	True	no
2244	Aragonite	0.6875	0.9356	2	455.27	197.18	1.0087	1.1624	140.31	0.30	0.61	119.68	65.61	29.98	True	no
2245	Aragonite	3.5625	2.1298	5	507.60	199.07	2.6002	1.4905	0.099613	0.86	1.50	176.11	79.40	179.25	True	no
2246	Aragonite	1.0625	1.1631	2	106.47	199.00	1.3375	1.3224	107.11	0.69	1.90	29.18	30.27	92.40	True	no
2247	Aragonite	2.0625	1.6205	5	129.52	201.55	2.5392	2.4553	113.51	0.91	1.90	127.31	71.45	36.79	True	no
2248	Aragonite	1.125	1.1968	5	149.22	199.06	1.2552	1.1	32.005	0.47	1.01	7.19	48.48	99.70	True	no
2249	Aragonite	0.875	1.0555	4	168.64	198.57	1.6886	2.5595	136.43	0.44	1.31	35.62	27.50	91.12	True	no
2250	Aragonite	2.5625	1.8063	6	189.44	200.49	1.8651	1.0662	110.66	0.96	1.50	162.02	126.17	54.14	True	no
2251	Aragonite	1.0625	1.1631	6	286.59	198.88	1.3171	1.2823	74.828	0.34	0.54	65.34	55.56	93.24	True	no
2252	Aragonite	0.875	1.0555	2	308.00	199.00	1.2282	1.354	90	0.73	1.15	40.70	81.95	67.24	True	no
2253	Aragonite	1.3125	1.2927	1	313.76	199.29	1.5143	1.3722	86.02	0.86	2.25	74.51	105.75	80.73	True	no
2254	Aragonite	0.8125	1.0171	2	458.46	198.38	1.2443	1.4965	39.265	0.37	0.79	151.10	119.74	30.69	True	no
2255	Aragonite	1.0625	1.1631	4	483.82	198.88	1.3084	1.2655	141.74	0.50	1.01	118.90	42.81	19.26	True	no
2256	Aragonite	12.5	3.9894	8	521.03	204.43	5.2371	1.7233	168.43	1.24	3.30	147.71	54.29	174.94	True	no
2257	Aragonite	3.4375	2.0921	4	167.55	204.82	4.0646	3.7746	105.24	1.10	2.13	106.34	71.94	35.95	True	no
2258	Aragonite	1.375	1.3231	8	173.95	201.00	2.1364	2.607	36.615	0.75	1.65	34.78	26.76	94.57	True	no
2259	Aragonite	1	1.1284	2	234.13	199.63	1.3992	1.5377	50.52	1.10	1.79	150.72	34.49	55.21	True	no
2260	Aragonite	1.125	1.1968	3	270.56	200.83	1.7798	2.2116	76.915	0.55	1.32	118.89	83.90	54.41	True	no
2261	Aragonite	0.75	0.97721	3	290.75	199.17	1.1554	1.398	136.85	0.93	1.31	66.05	80.36	69.93	True	no
2262	Aragonite	0.625	0.89206	3	301.70	199.40	0.90569	1.0308	116.57	0.42	1.58	4.86	89.71	74.41	True	no
2263	Aragonite	1.375	1.3231	3	496.50	200.45	1.6913	1.6339	118.57	0.53	0.85	84.42	11.58	69.69	True	no
2264	Aragonite	3.5	2.111	5	558.96	203.20	2.6598	1.5875	21.052	1.13	2.21	7.92	40.00	148.58	True	no
2265	Aragonite	2.6875	1.8498	1	602.05	202.21	2.7774	2.2543	102.44	0.89	2.59	81.58	34.72	56.74	True	no
2266	Aragonite	0.75	0.97721	1	76.33	201.33	1.322	1.8303	127.69	0.65	1.82	128.25	100.10	174.26	True	no
