Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
822	Aragonite	1.98	1.5878	4	174.00	89.18	2.591	2.6629	90	0.54	0.71	34.82	154.00	94.80	True	no
823	Aragonite	1.17	1.2205	5	202.62	89.15	2.1793	3.188	98.745	0.39	0.54	131.93	56.90	136.70	True	no
824	Aragonite	3.06	1.9739	5	207.56	88.44	2.4038	1.4831	172.57	0.69	1.45	126.50	53.68	116.08	True	no
825	Aragonite	1.53	1.3957	4	247.82	89.47	1.9401	1.9321	102.51	0.58	1.00	105.19	108.96	100.60	True	no
826	Aragonite	5.49	2.6439	4	295.56	90.97	3.5074	1.7599	48.353	0.69	1.97	175.24	66.00	76.38	True	no
827	Aragonite	8.28	3.2469	4	347.68	91.91	6.8586	4.4621	22.929	0.65	1.44	27.61	54.85	2.73	True	no
828	Aragonite	2.07	1.6235	1	21.09	89.74	2.1466	1.7484	29.072	0.50	1.71	110.67	95.93	61.84	True	no
829	Aragonite	1.17	1.2205	3	121.23	88.62	1.2804	1.1005	149.04	0.33	0.72	174.08	47.73	142.10	True	no
830	Aragonite	5.31	2.6002	7	129.73	91.98	3.8743	2.2201	127.14	0.74	1.58	110.98	114.57	131.26	True	no
831	Aragonite	1.26	1.2666	5	149.50	88.50	1.4708	1.3484	135	0.33	0.87	144.30	104.95	152.26	True	no
832	Aragonite	2.34	1.7261	4	196.04	90.15	2.0071	1.352	105.95	0.36	0.63	177.06	42.59	106.80	True	no
833	Aragonite	1.17	1.2205	4	213.08	88.85	1.4096	1.3339	106.24	0.16	0.49	74.84	110.20	144.70	True	no
834	Aragonite	1.62	1.4362	4	244.67	89.22	1.8819	1.717	88.773	0.41	0.96	166.59	89.56	111.51	True	no
835	Aragonite	3.42	2.0867	5	256.95	90.34	2.6212	1.5778	103.29	0.38	1.24	83.91	114.84	101.05	True	no
836	Aragonite	1.44	1.3541	4	265.44	88.75	1.5151	1.252	117.99	0.37	0.66	80.02	99.36	111.24	True	no
837	Aragonite	1.62	1.4362	4	270.83	88.50	1.6782	1.3654	160.92	0.23	0.41	80.94	77.01	123.09	True	no
838	Aragonite	2.88	1.9149	1	80.16	91.06	2.1577	1.2697	69.041	0.80	1.79	25.57	91.70	104.09	True	no
839	Aragonite	1.8	1.5139	4	102.20	89.85	1.6185	1.1429	176.05	0.47	1.37	8.66	73.87	152.88	True	no
840	Aragonite	1.08	1.1726	1	157.25	89.92	1.5949	1.8497	94.837	0.28	0.82	145.76	52.51	114.92	True	no
841	Aragonite	1.71	1.4755	2	177.21	91.26	2.2481	2.3213	101.31	0.58	1.09	70.37	116.35	131.41	True	no
842	Aragonite	1.08	1.1726	3	300.75	90.50	1.6553	1.9926	81.69	0.46	0.70	47.20	94.36	121.43	True	no
843	Aragonite	2.16	1.6584	4	320.08	90.79	2.2685	1.8712	113.35	0.45	0.71	124.41	72.02	123.98	True	no
844	Aragonite	4.5	2.3937	1	36.52	93.36	2.8865	1.4542	133.13	0.78	1.94	28.17	109.70	81.10	True	no
845	Aragonite	0.9	1.0705	4	146.00	90.30	1.6208	2.2926	7.0605	0.28	0.66	146.70	99.23	153.83	True	no
846	Aragonite	0.9	1.0705	3	170.50	90.50	1.6754	2.4495	135	0.16	0.33	50.67	113.36	124.74	True	no
847	Aragonite	1.35	1.3111	3	206.20	91.87	1.4851	1.2831	119.39	0.48	0.79	72.90	92.28	133.32	True	no
848	Aragonite	0.9	1.0705	3	240.20	90.50	1.2526	1.3693	90	0.13	0.21	54.38	93.97	106.00	True	no
849	Aragonite	2.61	1.823	4	251.97	92.41	2.2164	1.4782	57.645	0.84	1.54	145.51	90.38	116.63	True	no
850	Aragonite	2.43	1.759	5	261.70	93.33	3.2101	3.3305	108.51	0.98	1.49	142.48	105.63	95.48	True	no
851	Aragonite	4.77	2.4644	6	199.96	96.00	3.8397	2.4275	86.921	0.45	1.08	1.33	150.68	80.99	True	no
852	Aragonite	1.98	1.5878	3	215.86	92.68	1.8833	1.4069	107.98	0.46	0.91	105.11	67.13	143.46	True	no
853	Aragonite	1.17	1.2205	4	230.23	91.00	1.8836	2.3817	6.5629	0.73	1.71	92.27	99.34	143.98	True	no
854	Aragonite	2.61	1.823	4	270.03	92.45	2.3045	1.5981	151.04	0.67	1.36	27.12	113.13	118.18	True	no
855	Aragonite	4.14	2.2959	6	315.48	94.43	2.7716	1.4573	55.436	0.53	1.87	41.03	127.33	81.52	True	no
856	Aragonite	1.44	1.3541	2	411.81	92.50	1.5665	1.3384	78.307	0.47	0.77	100.74	46.39	140.45	True	no
857	Aragonite	1.44	1.3541	2	415.19	92.19	1.5661	1.3377	107.25	0.34	1.01	100.05	43.76	143.30	True	no
858	Aragonite	1.8	1.5139	3	94.90	93.45	1.6233	1.1497	159.87	0.73	1.12	145.55	69.24	47.15	True	no
859	Aragonite	0.99	1.1227	3	99.55	93.00	1.1821	1.1085	35.008	1.01	1.04	99.82	23.39	84.77	True	no
860	Aragonite	1.8	1.5139	5	123.60	92.75	1.6337	1.1645	155.69	0.43	0.71	87.04	115.80	129.17	True	no
861	Aragonite	1.35	1.3111	5	142.93	93.67	1.8367	1.9625	84.586	0.31	0.56	169.32	55.49	121.60	True	no
862	Aragonite	0.9	1.0705	3	151.50	93.00	1.9929	3.4658	124.2	0.34	0.69	150.22	45.16	106.44	True	no
863	Aragonite	2.61	1.823	4	187.14	94.31	2.4307	1.778	97.932	0.43	1.18	40.19	148.09	121.37	True	no
864	Aragonite	2.7	1.8541	3	210.07	95.43	2.7229	2.1568	78.636	0.48	1.15	102.57	63.63	127.33	True	no
865	Aragonite	2.43	1.759	5	265.37	94.59	2.4803	1.9883	97.538	0.46	2.40	84.19	115.95	101.05	True	no
866	Aragonite	9.81	3.5342	4	350.98	96.59	5.2324	2.1919	19.206	1.01	2.01	99.74	16.97	106.60	True	no
867	Aragonite	1.17	1.2205	4	365.38	92.54	1.4931	1.4965	129.27	0.42	0.97	35.55	110.80	161.37	True	no
868	Aragonite	0.99	1.1227	2	369.91	92.82	1.2564	1.2523	36.87	0.32	0.91	89.99	57.14	112.15	True	no
869	Aragonite	1.8	1.5139	3	120.45	95.50	2.7518	3.304	94.181	0.35	0.63	33.26	145.77	90.73	True	no
870	Aragonite	0.99	1.1227	4	145.91	93.64	1.3364	1.4169	105.07	0.38	0.55	178.61	44.92	113.72	True	no
871	Aragonite	3.06	1.9739	4	165.32	94.24	2.2205	1.2655	23.275	0.39	0.74	63.64	123.26	115.94	True	no
872	Aragonite	1.71	1.4755	5	227.42	94.11	1.559	1.1163	121.72	0.54	1.25	74.64	73.64	123.96	True	no
873	Aragonite	2.25	1.6926	6	237.80	95.00	2.3264	1.8891	121.39	0.47	1.88	136.53	77.04	125.50	True	no
874	Aragonite	1.08	1.1726	4	241.50	94.00	1.4677	1.5664	62.496	0.47	1.07	116.36	77.84	100.40	True	no
875	Aragonite	1.44	1.3541	3	278.50	94.00	1.4985	1.2247	90	0.40	1.34	58.77	94.18	124.28	True	no
876	Aragonite	0.9	1.0705	3	303.90	94.10	1.378	1.6572	97.688	0.74	1.08	99.07	106.48	129.66	True	no
877	Aragonite	1.17	1.2205	3	311.62	94.00	1.8421	2.2778	56.039	0.75	2.07	113.19	112.17	121.32	True	no
878	Aragonite	2.7	1.8541	3	336.40	96.40	3.0374	2.6837	123.51	0.91	1.20	92.09	81.72	119.37	True	no
879	Aragonite	1.17	1.2205	3	406.31	93.92	1.3129	1.1571	61.236	0.51	0.82	42.80	136.83	145.03	True	no
880	Aragonite	1.44	1.3541	2	68.69	95.38	2.1285	2.4709	33.139	0.45	0.88	24.98	92.26	105.26	True	no
881	Aragonite	3.24	2.0311	6	118.97	99.53	3.5211	3.0054	105.72	0.56	1.40	106.89	111.28	142.83	True	no
882	Aragonite	2.43	1.759	4	149.59	96.22	2.0557	1.3659	81.457	0.58	1.22	49.40	119.99	127.17	True	no
883	Aragonite	1.98	1.5878	4	159.45	95.32	1.6597	1.0926	9.7404	0.41	0.79	101.90	134.46	114.53	True	no
884	Aragonite	1.71	1.4755	4	221.26	94.63	1.8772	1.6185	4.1948	0.34	0.62	12.49	115.77	115.96	True	no
885	Aragonite	0.99	1.1227	5	232.00	94.36	1.4828	1.7442	149.31	0.53	0.70	142.68	56.15	114.41	True	no
886	Aragonite	4.23	2.3207	6	247.09	98.02	3.4641	2.2281	106.12	0.58	1.26	153.32	67.02	93.76	True	no
887	Aragonite	1.08	1.1726	4	301.42	94.83	1.4828	1.5989	110.61	0.41	1.01	30.16	131.63	91.54	True	no
888	Aragonite	1.53	1.3957	4	362.00	95.00	1.6598	1.4142	45	0.33	0.54	69.03	83.50	105.91	True	no
889	Aragonite	1.71	1.4755	0	394.79	94.95	1.6106	1.1915	100.04	0.34	1.05	136.89	18.28	104.91	True	no
890	Aragonite	1.53	1.3957	5	410.47	96.94	2.4673	3.1249	103.49	0.66	1.76	111.46	48.15	137.19	True	no
891	Aragonite	1.44	1.3541	2	128.31	96.25	2.2042	2.6499	143.89	0.30	0.92	34.09	136.37	81.83	True	no
892	Aragonite	4.05	2.2708	3	136.76	97.53	2.3671	1.0866	60.766	0.37	1.00	31.05	135.76	124.78	True	no
893	Aragonite	3.96	2.2454	5	254.14	96.50	3.2579	2.1051	176.35	0.76	1.67	26.64	114.22	78.34	True	no
894	Aragonite	3.06	1.9739	2	416.82	96.59	1.7408	1.5557	102.94	0.40	0.50	88.40	76.27	166.17	True	edge
895	Aragonite	3.51	2.114	2	16.97	99.10	2.2117	1.0945	68.225	0.37	0.95	110.23	106.86	157.58	True	no
896	Aragonite	1.98	1.5878	7	99.77	96.41	2.0454	1.6595	7.2086	0.57	0.76	8.46	65.89	135.54	True	no
897	Aragonite	1.44	1.3541	3	105.63	97.38	2.1321	2.4795	110.84	0.47	0.88	120.45	85.36	100.69	True	no
898	Aragonite	3.69	2.1675	4	113.78	101.29	4.046	3.4843	89.074	0.46	0.96	151.14	42.47	102.41	True	no
899	Aragonite	3.87	2.2198	7	170.23	100.05	3.2998	2.2098	88.386	0.80	2.08	101.31	108.52	119.69	True	no
900	Aragonite	1.17	1.2205	4	225.46	97.15	1.4734	1.4572	115.8	0.25	0.58	113.81	98.16	140.40	True	no
901	Aragonite	1.44	1.3541	5	231.00	97.38	1.7271	1.6268	117.75	0.59	0.80	88.52	92.49	130.81	True	no
902	Aragonite	1.98	1.5878	4	242.82	98.00	2.0759	1.7093	90	0.62	1.25	116.03	83.70	120.82	True	no
903	Aragonite	4.23	2.3207	5	271.79	99.64	2.9857	1.6552	134.56	0.63	1.07	26.88	121.90	97.21	True	no
904	Aragonite	2.07	1.6235	4	291.09	97.43	2.0466	1.5892	140.47	0.43	0.82	57.32	113.95	100.45	True	no
905	Aragonite	1.44	1.3541	5	305.38	96.81	2.026	2.2389	36.22	0.25	0.39	29.59	152.27	124.20	True	no
906	Aragonite	1.8	1.5139	5	325.20	97.05	1.7689	1.3653	100.52	0.39	0.87	136.65	50.15	76.62	True	no
907	Aragonite	0.99	1.1227	2	364.18	96.82	1.6311	2.1106	45	0.25	0.69	71.67	60.38	137.71	True	no
908	Aragonite	1.26	1.2666	2	404.29	97.50	1.5086	1.4185	75.294	0.55	1.39	74.74	78.74	161.62	True	no
909	Aragonite	1.98	1.5878	2	46.45	97.86	1.828	1.3255	15.431	0.65	1.21	104.77	102.41	101.60	True	no
910	Aragonite	3.42	2.0867	5	69.45	99.61	2.441	1.3683	62.638	0.45	1.06	141.41	74.95	85.84	True	no
911	Aragonite	0.99	1.1227	4	94.64	97.36	1.3762	1.5025	59.714	0.10	0.36	81.59	93.94	115.07	True	no
912	Aragonite	1.08	1.1726	4	122.67	98.42	1.9435	2.7469	97.804	0.35	0.62	99.71	121.12	139.53	True	no
913	Aragonite	1.53	1.3957	5	144.59	98.24	1.8861	1.8261	89.386	0.35	0.84	31.52	135.80	123.67	True	no
914	Aragonite	1.17	1.2205	4	214.92	99.00	1.9656	2.5936	113.06	1.04	1.94	141.75	67.72	115.47	True	no
915	Aragonite	1.26	1.2666	3	218.36	98.00	1.6339	1.6641	61.055	0.30	0.49	127.90	67.52	83.05	True	no
916	Aragonite	1.98	1.5878	6	234.73	98.41	2.0351	1.6429	62.374	0.63	1.23	156.79	51.81	106.60	True	no
917	Aragonite	0.9	1.0705	4	260.80	97.70	1.3696	1.637	108.22	0.31	0.45	84.63	115.69	102.17	True	no
918	Aragonite	1.35	1.3111	4	283.00	96.93	2.1149	2.6021	3.7317	0.59	0.90	62.26	93.55	88.50	True	no
919	Aragonite	3.06	1.9739	8	305.88	99.44	2.8568	2.0948	28.215	1.16	1.95	66.88	67.39	142.60	True	no
920	Aragonite	1.44	1.3541	3	321.88	98.19	1.4123	1.0879	64.794	0.45	0.65	59.97	62.97	123.93	True	no
921	Aragonite	2.43	1.759	6	329.30	99.15	2.2331	1.6118	47.646	0.80	1.75	172.10	57.75	84.38	True	no
922	Aragonite	1.17	1.2205	3	407.85	98.00	1.5872	1.6912	90	0.41	1.00	104.11	43.87	140.62	True	no
923	Aragonite	1.08	1.1726	3	84.17	98.75	1.3335	1.2932	132.62	0.73	0.85	135.68	68.46	75.24	True	no
924	Aragonite	1.8	1.5139	2	110.55	99.95	2.1948	2.1018	56.687	0.36	0.59	87.50	78.33	137.94	True	no
925	Aragonite	1.8	1.5139	3	116.55	101.70	3.2325	4.5593	90.543	0.51	1.19	32.09	145.64	89.92	True	no
926	Aragonite	1.71	1.4755	5	142.16	100.21	2.2652	2.3567	108.34	0.64	1.37	117.93	48.17	128.95	True	no
927	Aragonite	2.52	1.7912	4	152.61	100.71	2.2027	1.5122	101.13	0.79	1.98	0.27	92.75	78.71	True	no
928	Aragonite	1.35	1.3111	3	156.93	99.40	1.6096	1.5073	73.951	0.47	0.74	154.93	92.17	138.96	True	no
929	Aragonite	3.06	1.9739	5	162.88	100.59	2.5815	1.7104	134.3	0.54	1.30	156.22	92.79	139.23	True	no
930	Aragonite	1.89	1.5513	3	176.57	99.48	1.6885	1.1847	87.106	0.51	1.14	93.06	111.27	132.67	True	no
931	Aragonite	2.79	1.8848	5	180.52	101.48	2.4518	1.6922	79.133	0.33	0.85	53.14	142.51	121.49	True	no
932	Aragonite	1.8	1.5139	3	202.85	99.80	2.0085	1.7602	87.634	0.51	0.73	91.24	111.77	127.30	True	no
933	Aragonite	1.53	1.3957	4	277.24	99.53	1.8327	1.7241	68.221	0.26	0.41	13.16	99.97	118.75	True	no
934	Aragonite	1.53	1.3957	3	334.88	99.94	1.8103	1.6823	111.41	0.31	0.53	121.87	72.17	110.21	True	no
935	Aragonite	2.43	1.759	2	376.30	100.70	2.7239	2.3982	79.61	0.78	0.94	87.17	47.37	114.41	True	no
936	Aragonite	1.26	1.2666	1	380.14	99.07	1.6326	1.6614	113.12	0.50	1.06	147.28	9.68	88.15	True	no
937	Aragonite	3.06	1.9739	5	10.18	101.56	2.181	1.2209	130.85	0.52	0.91	73.66	146.88	82.85	True	no
938	Aragonite	2.34	1.7261	4	29.77	101.42	2.4504	2.0153	90.884	0.30	0.66	126.55	33.27	136.21	True	no
939	Aragonite	1.8	1.5139	4	34.70	99.85	1.6189	1.1436	97.38	0.23	0.83	163.68	99.31	108.01	True	no
940	Aragonite	2.61	1.823	2	51.00	101.24	2.0886	1.3127	86.94	0.73	1.68	84.63	104.02	86.82	True	no
941	Aragonite	0.9	1.0705	4	65.00	99.80	1.2039	1.2649	90	0.34	0.51	147.40	106.01	78.62	True	no
942	Aragonite	1.89	1.5513	5	87.57	102.00	2.4719	2.5392	113.3	0.81	1.31	139.29	79.86	107.41	True	no
943	Aragonite	0.99	1.1227	2	89.09	99.73	1.598	2.0258	114.34	0.40	0.93	46.05	66.09	109.10	True	no
944	Aragonite	2.25	1.6926	5	96.64	101.60	2.6174	2.3914	88.544	0.49	0.82	19.90	115.76	96.23	True	no
945	Aragonite	1.26	1.2666	4	103.64	100.07	1.6532	1.7035	126.51	0.52	1.00	135.50	74.73	117.47	True	no
946	Aragonite	0.9	1.0705	2	167.30	99.90	1.5934	2.2157	78.563	0.63	0.76	154.72	72.79	120.42	True	no
947	Aragonite	1.62	1.4362	3	185.89	100.72	2.0222	1.9825	96.611	0.56	0.69	90.46	75.45	124.03	True	no
948	Aragonite	1.17	1.2205	4	224.31	100.08	1.6246	1.7717	121.04	0.27	0.74	168.94	28.43	123.03	True	no
949	Aragonite	1.35	1.3111	7	228.20	100.40	1.9147	2.1329	93.514	0.21	0.46	55.65	138.11	109.43	True	no
950	Aragonite	0.99	1.1227	3	237.55	99.82	1.3775	1.5054	41.028	0.42	1.04	164.35	50.58	78.75	True	no
951	Aragonite	1.26	1.2666	3	283.50	99.29	1.2801	1.0214	90	0.41	1.10	22.56	109.18	116.77	True	no
952	Aragonite	1.17	1.2205	3	413.77	100.38	2.0488	2.8177	78.005	0.55	0.98	89.34	76.17	163.39	True	no
953	Aragonite	1.98	1.5878	4	61.09	102.59	2.4659	2.4119	83.449	1.01	2.69	147.65	106.76	77.45	True	no
954	Aragonite	3.42	2.0867	3	77.47	102.39	2.2637	1.1768	135.28	1.21	1.82	148.20	62.80	74.67	True	no
955	Aragonite	2.34	1.7261	6	92.54	101.73	1.9105	1.2251	102.39	0.21	0.49	3.46	136.53	87.41	True	no
956	Aragonite	2.25	1.6926	6	99.56	103.32	2.8591	2.8535	87.379	0.33	0.75	87.01	88.99	150.90	True	no
957	Aragonite	3.15	2.0027	3	127.17	102.63	2.5442	1.6139	121.99	0.59	1.26	108.03	76.16	130.65	True	no
958	Aragonite	1.44	1.3541	4	188.75	101.81	1.8008	1.7688	81.786	0.30	0.69	95.21	87.38	154.98	True	no
959	Aragonite	1.8	1.5139	4	207.05	101.50	1.5967	1.1124	134.8	0.21	0.46	13.91	134.12	84.59	True	no
960	Aragonite	0.9	1.0705	3	219.70	100.70	1.2064	1.27	45	0.45	1.14	41.57	105.21	120.02	True	no
961	Aragonite	2.88	1.9149	6	257.28	100.88	2.6445	1.9072	1.3172	0.52	1.10	15.77	113.48	72.81	True	no
962	Aragonite	4.41	2.3696	7	264.69	103.20	3.0325	1.6377	98.357	0.43	1.03	79.50	102.85	120.72	True	no
963	Aragonite	1.53	1.3957	4	280.12	101.53	1.5302	1.202	82.982	0.36	0.59	27.19	101.78	137.47	True	no
964	Aragonite	1.62	1.4362	2	288.39	101.28	1.7275	1.4467	77.764	0.45	0.97	80.82	62.68	118.37	True	no
